Part,Change,Page
205,"11(c)(3) Revised","52118"
205,"Appendix Amended","52118"
207,"Removed","2820"
207,"OTC margin stock lists","3804"
208,"Authority citation revised","37637, 46522"
208,"Technical correction","48571"
208.1--208.7 (Subpart A),"Revised","37637"
208.3,"(c)(1)(ii) and (d)(1) Amended","58620"
208.6,"(c)(1)(ii) Amended","58621"
208.20--208.25 (Subpart B),"Revised","37641"
208.26,"Revised","16380"
208.30--208.37 (Subpart C),"Revised","37646"
208.40--208.45 (Subpart D),"Revised","37652"
208.41(f),"Revised","42674"
208.50--208.51 (Subpart E),"Revised","37655"
208.60--208.64 (Subpart F),"Added","37655"
208.100--208.101 (Subpart G),"Added","37658"
208,"Appendixes A and B amended","42675"
208,"Appendix A amended","46522"
208,"Appendix D redesignated as D-1","55486"
208,"Appendix D-2 added; interim","55484, 55486"
209,"Appendix A, B and C amended","58621"
209,"Revised","37663"
211.2(u)(1),"Amended","58621"
211.8,"Amended","58621"
211.22(d),"Amended","58621"
211.24(f) and (h),"Amended","58621"
211.26(c),"Revised","46121"
213,"Authority citation revised","52109"
213.4(f)(8),"Revised","52109"
213.7(d)(1)(ii),"Revised","52109"
213,"Appendix A amended","52109"
213,"Supplement I amended","52115"
215.3(a)(3),"Amended","58621"
216,"Removed","37665"
220,"OTC margin stock lists","3804, 23195, 40012, 57237"
220.1,"Revised","2820"
220.2,"Revised","2821"
220.3,"Revised","2822"
220.4,"Revised","2823"
220.5,"Revised","2824"
220.6,"Revised","2824"
220.7,"Revised","2824"
