Part,Change,Page
217.201, Regulation at 57 FR 43336 eff. date delayed to 6-21-93, 15076
217.301, Regulation at 57 FR 43336 eff. date delayed to 6-21-93, 15076
217.302, Regulation at 57 FR 43336 eff. date delayed to 6-21-93, 15076
217.601, Regulation at 57 FR 43336 eff. date delayed to 6-21-93, 15076
217.602, Regulation at 57 FR 43336 eff. date delayed to 6-21-93, 15076
217.603, Regulation at 57 FR 43336 eff. date delayed to 6-21-93, 15076
218, Heading revised, 50512
219, Heading revised, 50512
220, OTC margin stock list, 6602, 25543, 39640, 54929
220, Heading revised, 50512
221, OTC margin stock list, 6602, 25543, 39640, 54929
221, Heading revised, 50512
224, OTC margin stock list, 6602, 25543, 39640, 54929
224, Heading revised, 50512
225,  Authority citation revised, 4074, 7980, 47209
225, Temporary exceptions, 42640
225, Heading revised, 50512
225.2, (k) revised, 473
225.2, (k) and (l) revised, 4074
225.4, (g) added, 47209
225.11, (f) revised, 6362
225.12, (f) revised, 6362
225.13, (a) and (b)(2) revised, 474
225.31, (d)(2)(ii) revised, 474
225.63, (a) amended, 15077
225, Appendix B amended, 474
225, Appendix A amended, 7980, 68739
225, Appendixes A and D amended, 7981
225, Regulation at 57 FR 62180 confirmed, 28492
226, Authority citation revised, 17084
226, Heading revised, 50512
226.15, (e) revised, 40583
226.16, Footnotes 36a and 36b redesignated as Footnotes 36b and 36c, 40583
226.23, (e) revised, 40583
226, Supplement I amended, 17084, 17085
227, Heading revised, 50512
228, Heading revised, 50512
229, Heading revised, 50512
229.2, (cc) amended, 2
229, Appendixes A, B-2 and E amended, 2
230, Appendix E amended, 3
230.2, (a) amended, 15081
