Part,Change,Page
201,"Heading revised","50512"
201,"Authority citation revised","68512"
201.1,"Revised; eff. 1-30-94","68512"
201.2,"Revised; eff. 1-30-94","68513"
201.3,"Revised; eff. 1-30-94","68513"
201.4,"Revised; eff. 1-30-94","68514"
201.5,"Revised; eff. 1-30-94","68514"
201.6,"Revised; eff. 1-30-94","68514"
201.7,"Added; eff. 1-30-94","68514"
201.8,"Added; eff. 1-30-94","68514"
201.9,"Added; eff. 1-30-94","68514"
201.108,"Footnote 1 redesignated as Footnote 3; eff. 1-30-94","68515"
201.109,"Footnotes 1a, 2 and 3 redesignated as Footnotes 4, 5 and 6; eff. 1-30-94","68515"
202,"Heading revised","50512"
202,"Technical correction","68735"
202.1,"(b) amended","65661"
202.5a,"Added","65661"
202.14,"(b)(3) revised; (b)(4) and (5) added","65662"
202,"Appendix C amended","65662"
203,"Exemption termination","1"
203,"MSA designations","6601, 50513"
203,"Heading revised","50512"
203.5,"Revised","13405"
203,"Appendix A amended","13405"
204,"Heading revised","50512"
204,"Authority citation revised","61802"
204.9,"(a) revised","61802"
204.9,"(a)(1) table corrected","64112"
205,"Heading revised","50512"
206,"Heading revised","50512"
207,"OTC margin stock list","6602, 25543, 39640, 54925"
207,"Heading revised","50512"
208,"Authority citation revised","7979, 47208"
208,"Heading revised","50512"
208.20,"Added","47208"
208,"Regulation at 57 FR 62179 confirmed","28492"
208,"Appendix C corrected","4460"
208,"Appendix A amended","7979, 68738"
208,"Appendixes A and B amended","7980"
209,"Heading revised","50512"
210,"Heading revised","50512"
211,"Authority citation revised","47209"
211,"Heading revised","50512"
211.2,"(t) revised","6358"
211.8,"Added","47209"
