Part,Change,Page
201.51,"Revised","47185, 57302"
201.52,"Revised","47185"
201.52,"(a) and (b) revised","57302"
201.53,"Revised","47186, 57302"
202,"Revised","1243"
202,"Interpretations","15891, 21605, 40424, 62903"
202.801,"Added","40424"
202.1101,"Added","22861"
202.1102,"Added","22861"
202.1103,"Added","36801"
202.1103,"(a) and (d) corrected","39368"
202,"Appendix B added","5679"
203.001,"Added","19123"
203.002,"Added","19123"
204.1,"(f) interpretation","13296"
204.5,"(a)(1)(iii), (b) and (c) revised","9999"
206.71,"Revised","3172"
207,"OTC margin stock list... 968, Forms revised under Regulation G","41605, 29299"
207,"OTC margin stock list; corrected","46275"
208.8,"(e)(5) amended","20815"
208.8,"(j) added","45290"
208.8,"(g), (h) and (i) added","49443"
208.8,"(f)(4) added","65569"
210,"Heading revised","31764"
210.1—210.16,"(Subpart A) Heading added and nomenclature changes","31764"
210.2,"(a) revised","31764"
210.65,"(Subpart B) Added","31765"
211.112,"Added","752"
212.3,"(h) added","2951"
213.7,"(b) amended","58737"
213.106,"Added","752"
217.1,"(f) interpretation","13296"
217.4,"(d) revised","16615"
217.4,"(d) introductory text amended","57950"
217.4,"(d)(1) revised and footnote added","57951"
