Part,Change,Page
226.505,"Removal effective date clarified",4345
226.505,"Designation corrected",8000
226.505,"Compliance date deferred to 4-1-82",56796
226.904,"Removal stayed","14539, 33600"
226,"Staff interpretations","3879, 9259, 10329, 46064, 62976"
226,"Staff interpretation withdrawn",13051
226,"Staff interpretation republished and effective date suspended",13436
226,"Staff interpretation removal stayed","14539, 33600"
226,"Staff interpretations republished and effective date suspended",20771
226,"Supplement I compliance date deferred to 4-1-82",56796
229.1,"Added",17929
229.1--229.6 (Subpart A),"Removed; eff. 10-31-80",46065
229.2,"(b) revised",24843
229.3,"(a) revised",24843
229.3,"Removed",46065
229.4,"(a) revised",24843
229.4,"(a) amended",37413
229.4,"Removed",46065
229.6,"Added",24445
229.6,"(a) and (b)(1) revised",26319
229.6,"(d) added",46065
229.11-229.15 (Subpart B),"Added",17931
229.11-229.15 (Subpart B),"Revised",23644
229.11-229.15 (Subpart B),"Removed",46337
229.11-229.15 (Subpart B),"Removal eff. 7-28-80",50718
229.14,"(a)(1) and (b) amended",37415
229.21-229.25 (Subpart C),"Added",17934
229.21-229.25 (Subpart C),"Removed",46338
229.24,"Revised",37414
229.24,"(b)(1)(ii) corrected",39495
229.31-229.35 (Subpart D),"Added",22884
229.31-229.35 (Subpart D),"Removed",46065
229.33--229.34,"Revised",37412
245,"Redesignated from 32A Part 1505",44574
250.182,"Revised",45257
262.3,"(b)(1) revised; eff. 2-1-81",81544
262.25,"Added; eff. 2-1-81",81542
265.1a,"(c) amended",34869
265.2,"(f)(48) added",24448
265.2,"(c)(26) added",46338
