Part,Change,Page
```
202,Added,49306
202.7,(a) effective date deferred, 1-31-76,60055
204.1,(e)(1) revised,46301
204.1,Corrected,48499
204.5,(a)(1)(iii) and (2)(iii) revised,3973
204.5,(c) revised,17136
204.5,(a)(1)(ii) and (2)(ii) revised,49310
204.5,(a)(1)(ii) and (2)(ii) revised,60055
206.1--206.71,Revised,50458
206.51,Form F-5 amended,52843
207.5,(f) revised, 19636, 43482
207.5,Stock lists issued,44829
208.8,(e)(5) added,21931
208.8,(f) added,51179
211.111,Added,43199
213.3,(b)(6) and (7) revised; (b)(8) added,40507
213.7,Revised,17136
213.105,Added,18412
215.103,(a) revised; (c) amended,40507
217.1,(e)(3) revised,17832
217.1,(e)(1) revised,46301
217.3,(f) amended,24895
217.4,(d) suspended until 4-18-75,12251
217.4,(d) amended,24894, 57664
217.5,(c)(1) introductory text and (2) and (3) revised; (c)(1)(vii) added,32737
217.7,(b) footnote added; (d) amended,57664
217.152,Added,16831
220.7,(a) revised,53379
220.8,(g)(3) revised,19636
220.8,(g) revised,43482
220.8,(h) and (i) stock list issued,44829
221.4,(f) revised, 19636, 43482
221.4,(d) and (e) stock list issued,44829
221.123,Correctly designated,59322
224,Stock list issued,44829
225.5,(c) added,55634
225.123,(g) revised,11710
225.123,(d) removal clarified,13304
225.123,(a) through (g) redesignated as (a), (b), (c), (d), and (e),13477
225.129,Amended,36309
225.133,Added,43199
226.1,(b)(1) and (c) revised,30085
226.1,(a)(1) revised; (a)(2) amended,43201
```
