Part,Change,Page
```
201.51,Revised,15543; 47825
201.52,Revised,15543; 47825
204.9,(a) revised,44449
205.1,(a) revised; OMB number,40797
205.2,(g) revised; eff. in part 4-16-85,40798
205.9,(b)(3) revised,40798
205.11,(c)(3) and (4) revised,40798
205,Supplement II amended,40798
207,OTC margin stock list,4933; 23607; 43947
207.2,(i) revised,35758
207.3,(q) added,35758
210.9,(a) introductory text, (1), (2), and (3) redesignated as (a)(1), (ii), and (iii); undesignated text designated as (a)(2) and revised,4200
211,Authority citation,5591
211.41—211.43,(Subpart D) Added,5592
211.42,(d) redesignated as (h); new (d) through (g) added,12197
211.44,Added,5587
211.45,Added,12197
212,Authority citation corrected,1334; 2746
212,Authority citation,28043
212.2,(n) added,28043
212.3,(b) revised,28043
212.6,(a) revised,28043
215.10,Footnotes 8 and 9 correctly designated,2902
217,Policy statements,11620
```
