Part,Change,Page
```
12,Chapter II,Continued
217.4,(d) temporarily suspended in part,2883, 19289, 28238, 28691, 34441
220,OTC margin stock list,4933, 23607, 43947
220.1—220.18,Revision eff. date deferred to 6-30-84,11826
220.2,(o) revised,35758
220.14,(b)(3) revised; (b)(4) removed,9560
220.14,(b)(2) correctly amended,27295
221,OTC margin stock list,4933, 23607, 43947
221.2,(h) revised,35758
221.3,(l) added,35758
224,OTC margin stock list,4933, 23607, 43947
225.1—225.43,Revised; App. A and B added; eff. 2-6-84,818
226,Preemption determinations,4368 
226.1,OMB number,46991
226.3,Introductory text and footnote 4 revised; (a.) amended,46991
226,Supplement No. 1 amended,13484, 40560
226,Supplement No. 1 corrected,17932, 18816
262.3,(e) amended,5605
262.25,Revised,5603
265.2,(h)(2) and (3) redesignated as (h)(3) and (4) and revised; former (h)(2) reinstated; (h)(5) and (6) added,2095
265.2,(b)(10) revised,5605
265.2,(d) removed; (f) introductory text amended; (f)(23), (26), and (33) through (42) removed; (f)(24), (25), (27) through (32), and (43) through (58) redesignated as (23), (24), (25) through (30), and (31) through (46),15544
265.2,(c)(32) added,25225
265.2,(a)(2) and (f)(22) introductory text and (vi)(A) revised,49281
```
