Part,Change,Page
210.6,"(a)(1) revised","21984"
210.7,"(b) revised","21985"
210.9,"(e) amended; footnote 3 redesignated as footnote 2","21985"
210.10,"Revised","21985"
210.12,"Revised","21985"
210.13,"(a) revised","21986"
211.5,"(f) revised","5363"
220,"OTC margin stock list","2999, 15195, 28189, 43679"
220,"OTC margin stock list at 53 FR 15195 corrected","17689"
220.2,"(r) introductory text republished; (r)(4) added","30831"
221,"OTC margin stock list","2999, 15195, 28189, 43679"
221,"OTC margin stock list at 53 FR 15195 corrected","17689"
224,"OTC margin stock list","2999, 15195, 28189, 43679"
224,"OTC margin stock list at 53 FR 15195 corrected","17689"
225.2,"(a) through (l) redesignated as (b) through (g) and (i) through (n); new (a) and (h) added; new (b) revised","37744"
225.51—225.52 (Subpart F),"Added","37744"
225,"Appendixes heading revised","37744"
225.145,"Added","37746"
226,"Determination","3332"
226.19,"(b)(2)(viii) corrected","467"
226,"Appendix H corrected","467"
226,"Supplement I amended","11050, 11058"
226,"Supplement I corrected","13379"
227.11—227.16 (Subpart B),"Staff guidelines","29225"
227.14,"Exemption granted in part","29223"
229,"Added","11837"
229,"Revised","19433"
229.2,"(r), (s), (z) and (dd) revised; interim","31292"
229.2,"(z)(4) revised","44324"
229.11,"Eff. to 9-1-90","19372"
229.12,"Eff. 9-1-90","19372"
229.16,"(b)(2) footnote 1 added; interim","31292"
229.16,"(b)(2) amended","44324"
229.30,"(a)(1) revised; interim","31292"
229.31,"(a)(1) revised; interim","31292"
229,"Appendix A corrected","24251, 31416"
229,"Appendixes A, C and E amended; interim","31293"
229,"Appendix F added","32356"
