Part,Change,Page
```
201.51,Revised,32603
201.52,Revised,32603
202,Determination,26987, 45756
202,Supplement I amended,11046
203,Revised,31687
203,Data reporting,47662
203,Appendix A revised,52657
204.9,(a) revised,49116
204.132,Added,24931
205,Supplement II amended,11046
205.6,(c) revised,52653
206,Supplemental notice,492
207,OTC margin stock list,2999, 15195, 28189, 43679
OTC margin stock list at 53 FR 15195,corrected,17689
208,Authority citation revised; section authority citations removed,20811
208.15,(a)(1)(iv) and (2), (b)(1), (d)(3), (e)(4), (f)(1) and (2)(vi) revised; (a)(4) added,20812
208.16,Supplemental notice,492
210,Heading and authority citation revised,21984
210.1—210.15 (Subpart A),Heading revised,21984
210.1,Revised,21984
210.2,(e), (f), (g) undesignated flush text and (j) revised; (g) footnote 2 removed; (k) and (l) redesignated as (l) and (m); new (k) added; new (l) introductory text and undesignated flush text revised,21984
210.3,(b) revised,21984
```
