Part,Change,Page
```csv
210.38,(b) revised and redesignated as (b)(1); (b)(2) added; eff. in part 1-1-90,21745
211.5,(c)(2) amended,25359
217,Authority citation revised,9637
217.0,Redesignated as 217.1 and revised,9637
217.1,Redesignated as 217.2; new 217.1 redesignated from 217.0 and revised,9637
217.2,Redesignated as 217.3; new 217.2 redesignated from 217.1,9637
217.2,Revised,9638
217.3,Removed; new 217.3 redesignated from 217.2,9637
217.3,Revised,9638
217.4,(d) temporarily suspended in part,8478
217.4,Removed,9637
217.4,Added,9638
217.5,Removed,9637
217.7,Removed,9637
220,OTC margin stock list,3939, 15757, 27519, 39643
221,OTC margin stock list,3939, 15757, 27519, 39643
224,OTC margin stock list,3939, 15757, 27519, 39643
225,Authority citation revised,36211
225.25,(b)(8) revised,36211
225.25,(b)(9) removed; (b)(10) and (11) footnotes 8 through 10 redesignated as 12 through 14,36212
225.25,(b)(13) revised; (b)(19) through (24) added,40000
225.128,Removed,36212
225.135,Removed,36212
225,Appendix A amended,40969
226.23,(f)(2) revised,45299
226,Effective date corrected,47106
226,Supplement I amended,11424
226,Supplement I corrected,18876
227.11--227.16 (Subpart B),Staff guidelines,39646
227.11--227.16 (Subpart B),Exemption granted in part,41763
265,Authority citation revised,18877
265.2,(c)(34) added,7056
265.2,(a)(2) revised,18876
265.2,(b)(10) redesignated as (b)(11); new (b)(10) added,19825
265.2,(c)(35) and (f)(48) added,45877
```
