Part,Change,Page
```csv
12 CFR 226.502, Rescission deferred to 10-1-82, 756
12 CFR 226.503, Rescission deferred to 10-1-82, 756
12 CFR 226.505, Rescission deferred to 10-1-82, 756
12 CFR 226 (Simplified), Compliance date deferred to 10-1-82, 756
12 CFR 226, Supplement I amended, 41338 51732
12 CFR 226.2 (a)(3), Revised, 7392
12 CFR 226.14, Footnote 31a amended, 756
12 CFR 226.22, Footnote 45a amended, 756
12 CFR 226.23 (f)(2), Amended, 51732
12 CFR 261.6 (b), Redesignated as (b)(1); (b)(2) and (d) added, 51096
12 CFR 265.1a (c), Amended, 27845
12 CFR 265.2 (h)(1) introductory text, (i), and (ii) revised; (h)(1)(v) through (vii) added, 4981
12 CFR 265.2 (h)(2) and (4)(ii) removed; (h)(3) and (4)(i) redesignated as (h)(2) and (3), 16170
12 CFR 265.2 (b)(10), Added, 46839
12 CFR 265.2 (a)(2), (c)(27) and (28) and (f)(30) and (50) revised; (f)(55) and (56) added, 51097
```
