Part,Change,Page
248.3,"(e)(5) through (13) redesignated as (e)(6) through (14); (d)(10) through (13) and new (e)(5) added; (b), (d)(3), (8), (9), new (e)(11), new (12), and new (14) revised",62131
248.4,Revised,62132
248.5,"(b) and (c)(1) introductory text revised; (c)(4) added",62134
248.6,"(e)(3) revised; (e)(4) and (6) removed; (e)(5) redesignated as new (e)(4)",62135
248.10,(d)(9)(iii) revised,35020
248.10,(c)(7)(ii) and (8)(i)(A) revised,62136
248.11,(a)(6) revised,35020
248.11,(c) revised,62136
248.11,Regulation at 84 FR 35020 corrected,38115
248.12,Second (e)(2)(vi) redesignated as (e)(2)(vii),62136
248.13,"(a), (b)(3), (4), and (c) revised",62136
248.14,"(a)(2)(ii)(B) revised",62137
248.20,"(a), (b) introductory text, (c), (d), (e) introductory text, and (f)(2) revised; (g), (h), and (i) added",62137
248,Appendix A revised,62138
248,Appendix B removed,62140
248,Appendix Z added (temporary),62140
249,Authority citation revised,59272
249.1,Revised,59272
249.3,Regulation at 83 FR 44455 confirmed,25978
249.3,Amended,59272
249.10,"(a) revised; (b) redesignated as (c); new (b) added",59275
249.20,Regulation at 83 FR 44455 confirmed,25978
249.21,Regulation at 83 FR 44455 confirmed,25978
249.22,Regulation at 83 FR 44455 confirmed,25978
249.30,"(a) revised; (c) and (d) added",59275
249.50,Revised,59275
249.60--249.64 (Subpart G),Removed,59276
249.90,(a) and (b) revised,59276
249.91,"(a) Table 1 and (b)(1)(i)(B) amended; (b)(1)(ii) removed; (b)(1)(iii) redesignated as new (b)(1)(ii); (c)(32) and (33) revised; (c)(34) and (35) added",59276
251.3,"(c)(2) revised; (c)(3) added",61802
252,Authority citation revised,59096
252.1,Revised,59096
252.2,Revised,59096
252.3,(c) added,59098
252.5,Added,59099
252.10--252.17 (Subpart B),Heading revised,59099
252.11,Revised,59100
252.12,(m) revised,4245
252.12,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879
252.12,Revised,59100
252.13,Revised,59100
252.14,Revised,59100
252.15,(a)(1) and (2) revised,4245
252.15,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879
252.15,"(a) introductory text and (b) revised; (c) removed",59101
252.16,(b)(3) revised,4245
252.16,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879
252.16,(a) and (b) revised,59101
252.17,"(b)(1)(iii)(C), (3)(iii)(C), and (c)(1) revised",4245
252.17,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879
252.17,(a) and (b) revised,59102
252.20--252.22 (Subpart C),Heading revised,59102
252.21,Revised,59102
252.22,Revised,59102
252.30--252.35 (Subpart D),Heading revised,59103
252.30,Revised,59103
252.31,Revised,59103
252.32,Revised,59103
252.33,(a)(1) and (b)(1) revised,59103
252.34,"(a)(1) introductory text, (c)(1)(i), (d), (e)(1), (f)(1), (2)(i), (g), and (h) revised",59103
252.35,"(a)(1) introductory text, (2), (7)(i), (ii), (b)(1), and (3) revised; (a)(8) added",59105
252.40--252.47 (Subpart E),Heading revised,59105
252.41,Revised,59105
252.42,(l) revised,4245
252.42,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879
252.42,Revised,59106
252.43,(a) revised,59106
252.44,"Heading, (a)(1), and (b) revised; (c) added",59106
252.45,(b)(2) revised,4245
252.45,Regulation at 84 FR 4245 eff. date delayed to 7-1-19,11879
252.50--252.58 (Subpart F),Heading revised,59107
252.51,Revised,59107
252.52,(m) revised,4246
252.52,Regulation at 84 FR 4246 eff. date delayed to 7-1-19,11879
252.52,Revised,59107
252.53,Revised,59107
252.54,"Heading, (a), (b)(2)(i), (4)(ii), and (iii) revised",59108
252.55,Removed,59108
252.56,"(a)(1) and (2) revised",4246
252.56,"Regulation at 84 FR 4246 eff. date delayed to 7-1-19",11879
252.56,"(a) introductory text, (b) introductory text, (c)(1), and (2) revised",59109
252.57,(a) revised,59109
252.58,"(b)(2), (3)(ii), and (c)(1)(ii) revised",4246
252.58,Regulation at 84 FR 4246 eff. date delayed to 7-1-19,11879
252.58,(a)(1) revised,59109
252.70,(a) and (d)(1) revised,59109
252.120--252.122 (Subpart L),Removed,59109
252.130--252.132 (Subpart M),Heading revised,59109
252.131,Revised,59109
252.132,"Heading, (a) introductory text, and (d) revised",59109
252.140--252.147 (Subpart N),Heading revised,59109
252.140,Revised,59110
252.142,Revised,59110
252.143,"Heading, (a)(1) introductory text, (b), and (c) revised",59110
252.144,Revised,59110
252.145,Heading and (a) revised,59111
252.146,"Heading, (b)(1) introductory text, (2)(i), (c)(1)(ii), and (iii) revised",59112
252.147,Added,59112
252.150--252.158 (Subpart O),Heading revised,59114
252.150,Revised,59114
252.152,Revised,59114
252.153,"Heading, (a)(1), (3), (c), (d), and (e) revised; (a)(2) heading added",59114
252.154,"Heading, (a)(1), (b), and (c) revised",59116
252.155,"Heading, (a)(1), (3), and (b)(1) revised",59116
252.156,"Heading, (a)(1) introductory text, (b)(1), (2), (3)(i), (4), (5), (6), (c)(1), (2)(ii), (d)(1), (e)(1), (2)(i)(A), (C), (ii)(A), (f), and (g) revised",59116
252.157,"Heading, (a)(1)(i) through (iv), (2), (7)(i), (ii), (iii), (b), (c)(1), and (7)(i) through (iv) revised; (a)(8) and (c)(7)(v) added",59118
252.158,"Heading, (b)(1) introductory text, (2)(i), (c)(1) introductory text, and (2) introductory text revised",59119
252.170,Revised,59119
252.171,"(f)(1) revised; (aa) removed; (bb) through (ll) redesignated as new (aa) through (kk)",59120
252.172,"(a), (b), (c) introductory text, and (2) revised; (c)(1) removed",59120
252.173,"(b)(1) and (2) revised; (b)(3) added",59120
252.175,(a)(1) revised,59121
252.176,(a)(1) and (2)(i) revised,59121
252.178,"(a)(1), (2), and (c)(2) revised",59121
252,Appendix A revised,"6655, 59121"
252,Appendix B added,6668
263.65,Revised,2052
265,Amended,31705
265.5,"(d)(1) and (3) removed",31705
265.7,"Heading, (d)(1), and (3) revised; (d)(4), (5), (7), and (9) through (13) removed; (e)(7) added",31705
265.11,"(a)(10), (c) heading, (11)(v), (d)(1) through (8), (10), (11), (12), and (e)(12) revised; (a)(17), (c)(12), (d)(13), (14), and (15) added",31705
267,Added,15503
268.1,(b) revised,27028
268.101,Revised,27029
268.102,"(a)(4), (b)(3), and (4) revised; (b)(1), (5), and (6) amended",27029
268.103,(a) revised,27029
268.104,"(a) introductory text and (d) revised",27029
268.106,"(a)(4) removed; (a)(5) revised",27029
268.107,"(e)(2) amended; (g) redesignated as (h); new (g) added",27029
268.108,"(g) heading revised",27030
268.201,"(a) and (c) introductory text revised",27030
268.203,Revised,27030
268.204,"(i), (j), and (k) revised; (l)(3) amended",27034
268.205,Removed,27034
268.302,Removed,27034
268.401,(c) revised,27034
268.403,"(a) revised; (g) added",27034
268.405,Revised,27034
268.502,(b)(2) and (c) revised,27034
268.504,(c) revised,27035
268.710,"(c) and (d)(4) revised; section amended",27035

