Part,Change,Page
204.4,"(f) revised",14-68350
208,"Authority citation revised",14-24539
208.41,"(c) through (j) redesignated as (d) through (k); new (c) added; eff. 1-1-18",14-24540
208.43,"(a)(2)(iv)(C) added; (c)(1)(iv) revised; eff. 1-1-18",14-24540
208,"Appendix D-2 amended",14-37166
210,"Authority citation revised",14-72111
210,"Policy statement",14-72112
210.2,"(c) and (p) revised; eff. in part 7-23-15",14-72111
210.9,"(b)(2), (3) and (4) revised; eff. 7-23-15",14-72111
213,"Authority citation revised",14-56483
213,"Supplement I amended",14-56483
216,"Removed",14-30709
217,"Authority citation revised",14-24540
217,"Heading and authority citation revised",14-44124
217,"Footnotes 5 through 29 redesignated as footnotes 9 through 33; interim",14-78295
217.1,"(f)(4) revised; eff. 1-1-18",14-24540
217.1,"(d)(4) amended",14-57744
217.2,"Amended; eff. 1-1-18",14-24540
217.2,"Amended","14-44124, 14-57744"
217.2,"Amended; interim",14-78295
217.10,"(c)(4) revised",14-57744
217.11,"(a)(2)(v), (vi), (c) and Table 2 added; (a)(4) revised; eff. 1-1-18",14-24540
217.172,"(d) added",14-57746
222.90,"(b)(5) revised",14-30711
222,"Appendix J amended",14-30711
225,"Authority citation revised",14-64040
225.8,"Revised",14-13502
225.8,"Revised; eff. in part 4-1-15",14-64040
225,"Appendix F amended",14-37167
225,"Appendix A regulation at 78 FR 62291 withdrawn",14-64045
226.9,"(c)(2)(v)(D) correctly amended; CFR correction",14-43232
226,"Supplement I amended","14-56484, 14-78298"
228.12,"(u)(1) revised",14-77854
230,"Removed",14-30713
234.2,"Revised",14-65557
234.3,"(a) revised",14-65558
234.4,"Removed; redesignated from 234.5",14-65562
234.5,"Redesignated as 234.4; redesignated from 234.6; (b)(3)(iv) redesignated as (b)(3)(iii)",14-65562
234.6,"Redesignated as 234.5; redesignated from 234.7",14-65562
234.7,"Redesignated as 234.6",14-65562
237.20-237.22,"Subpart B Revised",14-343
244,"Authority citation added; heading revised; eff. 2-23-15",14-77764
244.1,"Added; eff. 2-23-15",14-77764
248,"Added; nomenclature change",14-5804
248.1,"Revised",14-5804
248.16,"Added; interim",14-5228
249,"Heading revised; authority citation added; nomenclature changes",14-61539
249.1,"(b)(1)(i), (2)(iii) and (5) revised; (b)(1)(iii) amended; (b)(1)(iv) redesignated as (b)(1)(vi); new (b)(1)(iv), (v) and (c) added",14-61539
249.3,"Amended",14-61539
249.3,"Amended; interim",14-78296
249.22,"(b)(3) revised",14-61539
249.40,"(b)(1) revised",14-61540
249.60-249.63,"Subpart G Added",14-61540
251,"Added",14-68104
252,"Policy statement",14-14153
252,"Authority citation revised","14-17315, 14-64045"
252.1-252.4,"Subpart A Added",14-17315
252.10-252.17,"Subpart B Added",14-13506
252,"Revised",14-64045
252.20-252.22,"Subpart C Added",14-17316
252.30-252.35,"Subpart D Added",14-17317
252.40-252.47,"Subpart E Added",14-13510
252,"Revised",14-64049
252.50-252.58,"Subpart F Revised",14-13512
252,"Revised",14-64051
252.120-252.122,"Subpart L Added",14-17322
252.130-252.132,"Subpart M Added",14-17323
252.140-252.146,"Subpart N Added",14-17324
252.141-252.148,"Subpart G Removed",14-13515
252.150-252.158,"Subpart O Added",14-17326
252.151-252.157,"Subpart H Removed",14-13515
252.153,"(e) revised",14-64055
252.220-252.221,"Subpart U Added",14-17337
252,"Appendix A amended",14-64055
261.20,"(d)(1) and (2) added",14-6077
267,"Removed",14-64504
272.173,"(a) introductory text revised; (c) and Table 13 added",14-57746
