Part,Change,Page
206.54,"Form F-13 redesignated as 206.82 and amended",11251
206.81,"Form F-12 redesignated from 206.53 and revised",11250
206.82,"Form F-13 redesignated from 206.54 and amended",11251
206.104,"Added",11251
207,"OTC margin stock list","20977, 49577"
208.8,"(f)(2) amended; (f)(4) removed",2026
210.2,"(b) through (k) redesignated as (c) through (l) and revised; new (b) added",42059
211.3,"(b)(2) revised",18016
211.5,"(c)(2) amended",2027
211.6,"(d) revised",39810
211.602,"Interpretation",8437
213,"Added",20951
213.2,"(a)(17)(ii) corrected",29245
213.5,"(b) introductory text corrected",29245
213,"Appendixes A and B corrected; Appendix A footnotes 2 through 5 and Appendix B footnotes 6 through 10 correctly redesignated as footnotes 1 through 4 and 1 through 5",29245
216,"Authority citation","15865, 49105"
216.3,"(c) amended",15865
216.4,"(a) amended",15865
216.5,"(b) removed; (c) and (d) redesignated as (b) and (c)",15865
216,"Heading and (b) revised",49105
217.1,"(k) added",27092
217.2,"(a) and (b) revised; (l) added",32430
217.3,"(l)(1) revised",55238
217.3,"(l)(1)(ii)(C) and (2)(ii) corrected",57668
217.3,"(f) amended",10453
217.3,"(a) revised",62398
217.4,"(d) revised",10453
217.6,"(l) removed; (j) redesignated as (l)",10454
217.7,"(c), (f), and (g) revised",10454
217.7,"(a) revised",32430
217.7,"(b) and (e) through (g) revised",62398
217.7,"(i) added",62399
217.147,"Revised",10455
217.149,"Removed",10455
217.154,"Removed",10455
217.157,"Added",42062
217.157,"Effective date suspended",44421
217.157,"Revised",46899
