"Part","Change","Page","FedReg_Number","Year"
"201.51","Revised","6532, 16802, 34048",65,"2000"
"203","Supplement I amended; eff. 1-1-01","80735",65,"2000"
"204.9","Revised","69859",65,"2000"
"204.125","Amended","12917",65,"2000"
"208","Authority citation revised","75841",65,"2000"
"208.100--208.101 (Subpart G)","Redesignated as 208.100--208.101 (Subpart H); interim","14814",65,"2000"
"208.100--208.101 (Subpart H)","Redesignated as (Subpart I); eff. 4-1-01","75841",65,"2000"
"208.71--208.77 (Subpart G)","Added; interim","14814",65,"2000"
"208.71","(c) added; interim","15052",65,"2000"
"208.77","(e) and (f) redesignated as (f) and (g); new (e) added; interim","15052",65,"2000"
"208.81--208.86 (Subpart H)","Added; eff. 4-1-01","75841",65,"2000"
"208","Appendix E amended; interim; eff. 1-4-01","75858",65,"2000"
"216","Added","35206",65,"2000"
"220","OTC margin stock lists","9207, 51519",65,"2000"
"216","Added","35206",65,"2000"
"225","Authority citation revised","14438, 16472",65,"2000"
"225","Technical correction","16302",65,"2000"
"225.1","(c)(9) through (13) redesignated as (c)(11) through (15); new (c)(10) added; interim","16472",65,"2000"
"225.2","(r)(2) and (s) revised; interim","3791",65,"2000"
"225.3 (s)(1)","Introductory text revised; interim","15055",65,"2000"
"225.4","(g) added; interim","14442",65,"2000"
"225.24","(a)(3) removed","14438",65,"2000"
"225.81--225.94 (Subpart I)","Added; interim","3791",65,"2000"
"225.81","(c) redesignated as (d); new (c) added; interim","15055",65,"2000"
"225.85","Added; interim","14438",65,"2000"
"225.86","Added; interim","14438",65,"2000"
"225.86","(d) added; eff. 1-22-01","80740",65,"2000"
"225.87","Added; interim","14439",65,"2000"
"225.88","Added; interim","14439",65,"2000"
"225.89","Added; interim","14440",65,"2000"
"225.90","Revised; interim","15055",65,"2000"
"225.91","Revised; interim","15056",65,"2000"
"225.92","Revised; interim","15056",65,"2000"
"225.93","Revised; interim","15056",65,"2000"
"225.94","Revised; interim","15057",65,"2000"
"225.170—225.175 (Subpart J)","Added; interim","16472",65,"2000"
"225","Appendix E amended; interim; eff. 1-4-01","75859",65,"2000"
"226.5","Footnote 9 revised","58908",65,"2000"
"226.5a","(a)(3) revised","17131",65,"2000"
"226.5a","(a)(2)(ii), (5), (b) introductory text and (1) introductory text revised; (b)(11) added","58908",65,"2000"
"226.12","(g) revised","17131",65,"2000"
"226","Supplement I amended","17131, 58910, 70465",65,"2000"
"226","Appendix G amended","58908",65,"2000"
"261a","Authority citation revised","34392",65,"2000"
"261a.13","(b)(6) removed; (b)(7), (8) and (9) redesignated as (b)(6), (7) and (8); new (b)(9) added","34392",65,"2000"
"263.65","Revised","60584",65,"2000"
"269a.4","Amended; interim","2530",65,"2000"
"269a.5","Amended; interim","2530",65,"2000"
"272.3","(a) and (b) amended","6320",65,"2000"
"272.4","(b) amended","6320",65,"2000"
