"Part","Change","Page","FedReg_Number","Year"
"201","Authority citation revised","29538",59,"1994"
"201.51","Revised","29538, 44313, 60700",59,"1994"
"201.52","Revised","29538",59,"1994"
"201.52 (b)","revised","60700",59,"1994"
"203.2","(e)(1) introductory text, (2) and (f) revised","63704",59,"1994"
"203.4","(a) introductory text amended; (a)(7) revised","63704",59,"1994"
"203.5","(a) and (e) revised","63704",59,"1994"
"203","Appendix A amended","63704, 63705",59,"1994"
"204.9","(a) revised","60703",59,"1994"
"205","Authority citation revised","10683",59,"1994"
"205.9","(a)(4) revised; interim","61788",59,"1994"
"205.15","Added","10683",59,"1994"
"205","Appendix A amended","10683",59,"1994"
"207","OTC margin stock lists","4549, 23124, 37651, 54381",59,"1994"
"208","Authority citation revised","55988, 62992, 63244",59,"1994"
"208.1—208.19 (Subpart A)","Footnotes 11, 12 and 13 redesignated as 9, 10 and 11","55988",59,"1994"
"208.10","Heading revised; (a), (b) and (c) designation and heading removed","55988",59,"1994"
"208.17","(a)(2) amended","55988",59,"1994"
"208.21","Added; eff. 1-9-95","63711",59,"1994"
"208.22","Added","28761",59,"1994"
"208","Appendix A amended","62992, 63244",59,"1994"
"208","Appendix A amended; eff. 1-17-95","64563",59,"1994"
"208","Appendix A amended; eff. 4-1-95","65924",59,"1994"
"208","Appendixes A amended and B revised; eff. 4-1-95","65925",59,"1994"
"210","Authority citation revised","22965",59,"1994"
"210.1","Amended","22965",59,"1994"
"210.2","(g) introductory text revised; (p) added","22965",59,"1994"
"210.3","(a) amended; (f) added","22965",59,"1994"
"210.5","(a) introductory text and (2) revised; (b)(3) amended; (d) added","22965",59,"1994"
"210.6","(b) and (c) amended; (b)(1) and (2) revised","22966",59,"1994"
"210.9","(a)(5) revised","22966",59,"1994"
"210.12","(a) amended; (d) through (g) redesignated as (e) through (h); new (d) and (i) added; (c) introductory text, (2), new (e) concluding text and (h) revised","22966",59,"1994"
"210.13","Revised","22966",59,"1994"
"210.14","Revised","22967",59,"1994"
"211","Authority citation revised","55028",59,"1994"
"211.21","(e) revised","55028",59,"1994"
"211.29","Added","55028",59,"1994"
"215","Authority citation revised","8837",59,"1994"
"215.1—215.13 (Subpart A)","Revised","8837",59,"1994"
"215.2","(c)(4) and (d) introductory text corrected","37930",59,"1994"
"215.3","(b)(2) corrected","37930",59,"1994"
"215.4","(e)(1) introductory text and Footnote 3 corrected","37930",59,"1994"
"215.5","(b) and (c)(4) corrected","37930",59,"1994"
"215.11","(b)(1) corrected","37930",59,"1994"
"215.21","(a) amended; Footnote 10 removed; Footnotes 11 and 12 redesignated as Footnotes 5 and 6","8842",59,"1994"
"215.22","(c)(1)(ii) amended","8842",59,"1994"
"220","OTC margin stock lists","4549, 23124, 37651, 54381",59,"1994"
"220","Authority citation revised","53567",59,"1994"
"220.1","(b)(1) amended; (b)(3) added","53567",59,"1994"
"220.2","(h) revised; (w) through (aa) redesignated as (x) through (bb); new (w) added","53567",59,"1994"
"220.4","(c)(3) revised; (d) amended","53568",59,"1994"
"220.8","(b)(4) amended; (b)(1)(i) introductory text, (ii), (3), (c)(2)(i) and (d) revised","53568",59,"1994"
"220.18","Redesignated as 220.19; new 220.18 added","53568",59,"1994"
"220.19","Redesignated from 220.18","53568",59,"1994"
"221","OTC margin stock lists","4549, 23124, 37651, 54381",59,"1994"
"224","OTC margin stock lists","4549, 23124, 37651, 54381",59,"1994"
"225","Statement and order","6531, 40202",59,"1994"
"225","Authority citation revised","22968, 29500, 62993, 63244, 65474",59,"1994"
"225.4","Temporary exceptions","62562",59,"1994"
"225.4","(b)(1) revised; (b)(6) added","22968",59,"1994"
"225.4","(d) removed; (e) through (g) redesignated as (d) through (f)","39679",59,"1994"
"225.7","Added","39679",59,"1994"
"225.7","(b)(3) added; (c)(2) revised; eff. 1-23-95","65474",59,"1994"
"225.11","Introductory text revised; interim","54808",59,"1994"
"225.14","(i) revised; interim","54808",59,"1994"
"225.15","Added; interim","54808",59,"1994"
"225.23","Revised; interim","54808",59,"1994"
"225.24","Revised; interim","54805",59,"1994"
"225.62","(d), (e), (f) and (g) through (k) redesignated as (e), (f), (g) and (i) through (m); new (d) and new (h) added","29500",59,"1994"
"225.63","Heading and (a) revised; (b) and (c) redesignated (d) and (e); new (b) and new (c) added","29500",59,"1994"
