"Part","Change","Page","FedReg_Number","Year"
"201.51","Revised","10270",54,"1989"
"201.52","Revised","10271",54,"1989"
"202","Authority citation revised","50485",54,"1989"
"202.2","(g) revised","50485",54,"1989"
"202.3","(d) removed; (e) redesignated as (d)","50485",54,"1989"
"202.9","(a)(1) and (2) republished; (a)(3) added","50485",54,"1989"
"202.12","(b)(1) introductory text and (2) through (4) revised; (b)(5) added","50486",54,"1989"
"202.14","(a)(1) amended","53539",54,"1989"
"202","Appendix C amended","50486",54,"1989"
"202","Appendix A amended","53539",54,"1989"
"202","Supplement I amended","9416",54,"1989"
"203","Revised; eff. 1-1-90","51362",54,"1989"
"204.9","(a)(1) revised","51012",54,"1989"
"205.13","(a)(1) amended","53539",54,"1989"
"205","Supplement II amended","9416",54,"1989"
"207","OTC margin stock list","4254, 16357, 31647, 43952",54,"1989"
"208.10","(a)(3) amended; (a)(4) revised; (b)(2) and (3) amended","7183",54,"1989"
"208.13","Revised","4198",54,"1989"
"208.17","Added","6117",54,"1989"
"208.123","Removed","7181",54,"1989"
"208.124","Added","7181",54,"1989"
"208","(b), (c)(8)(ii) and (d) footnote 1 corrected","10482",54,"1989"
"208","Appendix A added","4198",54,"1989"
"208","Appendix A corrected","12531",54,"1989"
"213","Appendix D amended","53539",54,"1989"
"220","OTC margin stock list","4254, 16357, 31647, 43952",54,"1989"
"221","OTC margin stock list","4254, 16357, 31647, 43952",54,"1989"
"224","OTC margin stock list","4254, 16357, 31647, 43952",54,"1989"
"225.2","(l) through (n) redesignated as (m) through (o); new (l) added","37302",54,"1989"
"225.25","(b)(9) added","37301",54,"1989"
"225.126","(h) removed","37302",54,"1989"
"225","Appendix A redesignated as Appendix B and amended; new Appendix A added","4209",54,"1989"
"225","Corrected","12531",54,"1989"
"225","Appendix B redesignated as Appendix C","4209",54,"1989"
"226","Authority citation revised","13864",54,"1989"
"226","Determination","50342",54,"1989"
"226.1","(a) amended","13865",54,"1989"
"226.1","(b) and (d)(2) revised; (c)(3) added","24686",54,"1989"
"226.2","(a)(15) and (a)(17)(iv) revised","13865",54,"1989"
"226.5","(a)(1), (2), and footnote 7 republished; footnotes 8 and 9 revised; (a)(3) and (b)(3) added","13865",54,"1989"
"226.5","Footnote 8 revised; (a)(4) and (b)(4) added","24686",54,"1989"
"226.5a","Added","13865",54,"1989"
"226.5a","(a)(3) revised","24686",54,"1989"
"226.5a","(a)(3), (d)(2), (g)(2)(i), and (ii) corrected","32954",54,"1989"
"226.5b","Added","24686",54,"1989"
"226.6","(e) added","24686",54,"1989"
"226.9","(d)(2) revised; (e) and (f) added","13867",54,"1989"
"226.9","(c)(3) added","24688",54,"1989"
"226.9","(e)(1) and (f)(1) corrected","32954",54,"1989"
"226.14","(b) revised","13867",54,"1989"
"226.14","(b) revised","24688",54,"1989"
"226.15","Footnote 36 revised","24688",54,"1989"
"226.16","(b) introductory text republished; footnote 36a added","13867",54,"1989"
"226.16","(d) added","24688",54,"1989"
"226.16","(d)(3) corrected; footnote 36b added","28665",54,"1989"
"226.28","(a)(1) amended; (d) added","13867",54,"1989"
"226.28","(a) corrected","32954",54,"1989"
"226","Supplement I amended","9421",54,"1989"
"226","Supplement I corrected","13455",54,"1989"
"226","Appendix G amended","13868, 24689",54,"1989"
"226","Appendix I amended","53539",54,"1989"
"229","Policy statement","13839",54,"1989"
"229.2","(e)(7), (z)(5) and (cc) revised","13850",54,"1989"
"229.13","(e)(2) amended","13850",54,"1989"
"229.16","(c)(3) amended","13850",54,"1989"
"229.19","(e) revised","13850",54,"1989"
"229.31","(b) amended","13850",54,"1989"
"229.32","(a)(2)(ii) amended; (a)(2)(iii) redesignated as (a)(2)(iv); new (a)(2)(iii) added","13850",54,"1989"
"229.34","(a)(1), (a) concluding text, (b) introductory text, (1), and concluding text revised","13850",54,"1989"
"229.36","Heading revised; (e) added; eff. 2-1-91","32047",54,"1989"
"229.38","(d) amended","13850",54,"1989"
"229.38","(d) redesignated as (d)(1); new (d) heading and (2) added; eff. 2-1-90","32047",54,"1989"
"229","Appendixes A and E amended","13851",54,"1989"
"229","Appendix E amended; eff. 2-1-90 and 2-1-91","32047",54,"1989"
"229","Appendix F amended","13838",54,"1989"
"262.2","(b) amended","33183",54,"1989"
"262.3","(a), (c), (j)(1)(ii) amended; (j)(3) and (4) removed; (j)(2) revised","33183",54,"1989"
"265.2","(f)(49) added","10139",54,"1989"
"265.2","(c)(30) revised","38374",54,"1989"
