"Part","Change","Page","FedReg_Number","Year"
"201.51","Revised","37436",52,"1987"
"201.52","Revised","37436",52,"1987"
"202","Determination","35537",52,"1987"
"202","Supplement I and Appendix B amended","10733",52,"1987"
"203","Exemption terminated","10365",52,"1987"
"204","Authority citation revised","2215, 46451",52,"1987"
"204.2—204.4","Authority citations removed","2215",52,"1987"
"204.2","(a)(1)(v) and (vii)(C) amended","47694",52,"1987"
"204.2","(c)(1)(iv)(E), footnote 4 amended","47695",52,"1987"
"204.9","Authority citation removed","2215",52,"1987"
"204.9","(a)(1) and (2) revised","46451",52,"1987"
"204.122","(b) revised","47694",52,"1987"
"204.123","Amended","47695",52,"1987"
"204.124","(a) amended","47695",52,"1987"
"204.125","Redesignated from 217.126 and revised","47695",52,"1987"
"204.126","Redesignated from 217.137 and revised","47695",52,"1987"
"204.127","Redesignated from 217.138 and revised","47695",52,"1987"
"204.128","Redesignated from 217.146 and revised","47696",52,"1987"
"204.129","Redesignated from 217.153 and revised","47696",52,"1987"
"204.130","Redesignated from 217.157 and revised","47696",52,"1987"
"204.131","Redesignated from 217.159 and revised","47697",52,"1987"
"205.14","(a)(2) and (b) revised","30912",52,"1987"
"205","Supplement II amended","10734",52,"1987"
"205","Appendix A amended","30912",52,"1987"
"206","Removed","49375",52,"1987"
"207","OTC margin stock list","3218, 15941, 28538, 41963",52,"1987"
"208","Authority citation revised","2859, 42090, 49375",52,"1987"
"208.14","Added","2860",52,"1987"
"208.15","Added","42090",52,"1987"
"208.15","Addition comment time extended","46984",52,"1987"
"208.16","Added","49376",52,"1987"
"211","Authority citation revised","30914",52,"1987"
"211.5","(f) added","30914",52,"1987"
"217.101","Removed","47698",52,"1987"
"217.103","Removed","47698",52,"1987"
"217.105 - 217.112","Removed","47698",52,"1987"
"217.113","Redesignated as 217.601","47698",52,"1987"
"217.114 - 217.121","Removed","47698",52,"1987"
"217.124","Removed","47698",52,"1987"
"217.126","Redesignated as 204.125 and revised","47695",52,"1987"
"217.131 - 217.133","Removed","47698",52,"1987"
"217.134","Redesignated as 217.301 and revised","47698",52,"1987"
"217.135 - 217.136","Removed","47698",52,"1987"
"217.137","Redesignated as 204.126 and revised","47695",52,"1987"
"217.138","Redesignated as 204.127 and revised","47695",52,"1987"
"217.139 - 217.141","Removed","47698",52,"1987"
"217.144","Removed","47698",52,"1987"
"217.146","Redesignated as 204.128 and revised","47696",52,"1987"
"217.147","Redesignated as 217.302 and revised","47698",52,"1987"
"217.148","Redesignated as 217.602","47698",52,"1987"
"217.150","Removed","47698",52,"1987"
"217.151","Redesignated as 217.603","47698",52,"1987"
"217.152","Removed","47698",52,"1987"
"217.153","Redesignated as 204.129 and revised","47696",52,"1987"
"217.155 - 217.156","Removed","47698",52,"1987"
"217.157","Redesignated as 204.130 and revised","47696",52,"1987"
"217.158","Removed","47698",52,"1987"
"217.159","Redesignated as 204.131 and revised","47697",52,"1987"
"217.160","Removed","47698",52,"1987"
"217.161","Redesignated as 217.201 and revised","47699",52,"1987"
"217.201","Redesignated from 217.161 and revised","47699",52,"1987"
"217.301","Redesignated from 217.134 and revised","47698",52,"1987"
"217.302","Redesignated from 217.147 and revised","47698",52,"1987"
"217.601","Redesignated from 217.113","47698",52,"1987"
"217.602","Redesignated from 217.148","47698",52,"1987"
"217.603","Redesignated from 217.151","47698",52,"1987"
"220","OTC margin stock list","3218, 15941, 28538, 41963",52,"1987"
"220.2","(r)(2)(iii) amended; (r)(3) added; (r) introductory text republished","32292",52,"1987"
"220.3","(e)(4) added; eff. 1-25-88","48805",52,"1987"
"221","OTC margin stock list","3218, 15941, 28538, 41963",52,"1987"
"221.3","(b) revised; (c)(i) and (ii) redesignated as (c)(1) and (2); new (c)(1) revised","35683",52,"1987"
"224","OTC margin stock list","3218, 15941, 28538, 41963",52,"1987"
"225.43","(a) revised","23023",52,"1987"
"225.43","(c)(2) and (d) revised","23024",52,"1987"
"225.123","(e)(4) removed","45161",52,"1987"
"226","Authority citation revised","43181",52,"1987"
"226.1","(a),(d)(4), and (e) revised","45611",52,"1987"
"226.1","Technical correction","45611",52,"1987"
"226.17","(b) revised","48670",52,"1987"
"226.18","(f) and footnote 43 revised","48670",52,"1987"
"226.19","Revised","48670",52,"1987"
"226.20","(c) added","48671",52,"1987"
"226.22","Footnote 45a redesignated as 45d","48670",52,"1987"
"226.30","Added","43181",52,"1987"
"226.30","Technical correction","45611",52,"1987"
"226","Supplement I amended","10878",52,"1987"
"226","Appendix H amended","48671",52,"1987"
"227.14","Exemption granted in part","2400",52,"1987"
"261","Policy statement","15707",52,"1987"
"261.4","(g) removed","15300",52,"1987"
"261.8","Added","15300",52,"1987"
"265.1a","(a)(2) amended","43318",52,"1987"
"265.2","(b)(10) and (11), (c)(26), (29) and (34), and (f)(26) and (48) amended; (c) introductory text and (g) revised","43318",52,"1987"
"265.2","(b)(7) revised","48806",52,"1987"
