"Part","Change","Page","FedReg_Number","Year"
"201.51","Revised","56786, 66001",63,"1998"
"202","Appendixes A and C amended","16394",63,"1998"
"203","Supplement I amended","70997",63,"1998"
"203.1(a)","Amended","52142",63,"1998"
"203.3(a)(1)(ii) and (2)(ii)","Revised","52142",63,"1998"
"203","Appendix A amended","52143-52146",63,"1998"
"204.2(p)","Removed","64841",63,"1998"
"204.3(c)","Revised","15071",63,"1998"
"204.9","Revised","65662",63,"1998"
"205.4(c)","Added; interim","14532",63,"1998"
"205","11(c)(3) Revised","52118",63,"1998"
"205","Appendix Amended","52118",63,"1998"
"207","Removed","2820",63,"1998"
"207","OTC margin stock lists","3804",63,"1998"
"208","Authority citation revised","37637, 46522",63,"1998"
"208","Technical correction","48571",63,"1998"
"208.1--208.7 (Subpart A)","Revised","37637",63,"1998"
"208.3","(c)(1)(ii) and (d)(1) Amended","58620",63,"1998"
"208.6","(c)(1)(ii) Amended","58621",63,"1998"
"208.20--208.25 (Subpart B)","Revised","37641",63,"1998"
"208.26","Revised","16380",63,"1998"
"208.30--208.37 (Subpart C)","Revised","37646",63,"1998"
"208.40--208.45 (Subpart D)","Revised","37652",63,"1998"
"208.41(f)","Revised","42674",63,"1998"
"208.50--208.51 (Subpart E)","Revised","37655",63,"1998"
"208.60--208.64 (Subpart F)","Added","37655",63,"1998"
"208.100--208.101 (Subpart G)","Added","37658",63,"1998"
"208","Appendixes A and B amended","42675",63,"1998"
"208","Appendix A amended","46522",63,"1998"
"208","Appendix D redesignated as D-1","55486",63,"1998"
"208","Appendix D-2 added; interim","55484, 55486",63,"1998"
"209","Appendix A, B and C amended","58621",63,"1998"
"209","Revised","37663",63,"1998"
"211.2(u)(1)","Amended","58621",63,"1998"
"211.8","Amended","58621",63,"1998"
"211.22(d)","Amended","58621",63,"1998"
"211.24(f) and (h)","Amended","58621",63,"1998"
"211.26(c)","Revised","46121",63,"1998"
"213","Authority citation revised","52109",63,"1998"
"213.4(f)(8)","Revised","52109",63,"1998"
"213.7(d)(1)(ii)","Revised","52109",63,"1998"
"213","Appendix A amended","52109",63,"1998"
"213","Supplement I amended","52115",63,"1998"
"215.3(a)(3)","Amended","58621",63,"1998"
"216","Removed","37665",63,"1998"
"220","OTC margin stock lists","3804, 23195, 40012, 57237",63,"1998"
"220.1","Revised","2820",63,"1998"
"220.2","Revised","2821",63,"1998"
"220.3","Revised","2822",63,"1998"
"220.4","Revised","2823",63,"1998"
"220.5","Revised","2824",63,"1998"
"220.6","Revised","2824",63,"1998"
"220.7","Revised","2824",63,"1998"
"220.8","Revised","2825",63,"1998"
"220.9","Revised","2826",63,"1998"
"220.10","Revised","2826",63,"1998"
"220.11","Revised","2826",63,"1998"
"220.12","Revised","2827",63,"1998"
"220.13","Removed","2827",63,"1998"
"220.14","Removed","2827",63,"1998"
"220.15","Removed","2827",63,"1998"
"220.16","Removed","2827",63,"1998"
"220.17","Removed","2827",63,"1998"
"220.18","Removed","2827",63,"1998"
"220.126","Removed","2827",63,"1998"
"221","Revised","2827",63,"1998"
"221","OTC margin stock lists","3804",63,"1998"
"224","Authority citation revised","2839",63,"1998"
"224","OTC margin stock lists","3804, 23195, 40012, 57237",63,"1998"
"224.1","(a) and (b)(1) amended","2839",63,"1998"
"224.2","Introductory text amended","2839",63,"1998"
"224.3","Revised","2839",63,"1998"
"225","Authority citation revised","30370, 46522",63,"1998"
"225","Technical correction","48571",63,"1998"
"225.4","(d) and (f) amended","58621",63,"1998"
"225.4","(d) corrected","65281",63,"1998"
"225.63","(a)(11) amended; (a)(12) redesignated as (a)(13); new (a)(12) added","65532",63,"1998"
"225.200","(b)(4)(i) revised","14804",63,"1998"
"225","Appendix D amended","30370",63,"1998"
"225","Appendixes A and D amended","42676",63,"1998"
"225","Appendix A amended","46522, 58621",63,"1998"
"226","Dollar amount adjustment notice","6474, 67575",63,"1998"
"226","Appendix H corrected","2723",63,"1998"
"226","Supplement I amended","16674-16678",63,"1998"
"226","Supplement I corrected","33990",63,"1998"
"230.4","(b)(6)(iii) amended","40637",63,"1998"
"230.5","(c) removed; (d) redesignated as (c)","52107",63,"1998"
"230.8","(c)(6)(iii) revised","40638",63,"1998"
"230.8","(e)(2)(i) revised","52107",63,"1998"
"230.9","(b) revised","52107",63,"1998"
"230","Supplement I amended","52107",63,"1998"
"230","Appendix A amended","40638",63,"1998"
"250.120","Removed","37659",63,"1998"
"250.121","Removed","37659",63,"1998"
"250.122","Removed","37659",63,"1998"
"250.123","Removed","37659",63,"1998"
"250.140","Removed","37659",63,"1998"
"250.161","Removed","37659",63,"1998"
"250.162","Removed","37659",63,"1998"
"250.300-250.302","Undesignated center heading and sections removed","37659",63,"1998"
"262.3","(b)(1)(i)(A) and (C) removed; (b)(1)(i)(B), (D) and (E) redesignated as (b)(1)(i)(A), (B) and (C)","58622",63,"1998"
"263.201","(a) amended","58621",63,"1998"
"263.203","(a)(1)(i)(A) amended","58621",63,"1998"
"263.205","(b)(2) amended","58621",63,"1998"
"263.302","(a) revised; interim","55488",63,"1998"
"265.7","(f)(6)(i) and (ii) amended","58621",63,"1998"
"265.9","(a) introductory text, (1), (c)(1), (4) and (5) revised; (a)(8) and (d) through (g) added","65044",63,"1998"
"265.11","(f) revised","2839",63,"1998"
"265.11","(a)(7) amended","58621",63,"1998"
"265.11","(e)(1), (3), (4) introductory text, (5) introductory text, (7) and (12) revised; (e)(8) amended","58622",63,"1998"
