"Part","Change","Page","FedReg_Number","Year"
"201","Heading revised","50512",58,"1993"
"201","Authority citation revised","68512",58,"1993"
"201.1","Revised; eff. 1-30-94","68512",58,"1993"
"201.2","Revised; eff. 1-30-94","68513",58,"1993"
"201.3","Revised; eff. 1-30-94","68513",58,"1993"
"201.4","Revised; eff. 1-30-94","68514",58,"1993"
"201.5","Revised; eff. 1-30-94","68514",58,"1993"
"201.6","Revised; eff. 1-30-94","68514",58,"1993"
"201.7","Added; eff. 1-30-94","68514",58,"1993"
"201.8","Added; eff. 1-30-94","68514",58,"1993"
"201.9","Added; eff. 1-30-94","68514",58,"1993"
"201.108","Footnote 1 redesignated as Footnote 3; eff. 1-30-94","68515",58,"1993"
"201.109","Footnotes 1a, 2 and 3 redesignated as Footnotes 4, 5 and 6; eff. 1-30-94","68515",58,"1993"
"202","Heading revised","50512",58,"1993"
"202","Technical correction","68735",58,"1993"
"202.1","(b) amended","65661",58,"1993"
"202.5a","Added","65661",58,"1993"
"202.14","(b)(3) revised; (b)(4) and (5) added","65662",58,"1993"
"202","Appendix C amended","65662",58,"1993"
"203","Exemption termination","1",58,"1993"
"203","MSA designations","6601, 50513",58,"1993"
"203","Heading revised","50512",58,"1993"
"203.5","Revised","13405",58,"1993"
"203","Appendix A amended","13405",58,"1993"
"204","Heading revised","50512",58,"1993"
"204","Authority citation revised","61802",58,"1993"
"204.9","(a) revised","61802",58,"1993"
"204.9","(a)(1) table corrected","64112",58,"1993"
"205","Heading revised","50512",58,"1993"
"206","Heading revised","50512",58,"1993"
"207","OTC margin stock list","6602, 25543, 39640, 54925",58,"1993"
"207","Heading revised","50512",58,"1993"
"208","Authority citation revised","7979, 47208",58,"1993"
"208","Heading revised","50512",58,"1993"
"208.20","Added","47208",58,"1993"
"208","Regulation at 57 FR 62179 confirmed","28492",58,"1993"
"208","Appendix C corrected","4460",58,"1993"
"208","Appendix A amended","7979, 68738",58,"1993"
"208","Appendixes A and B amended","7980",58,"1993"
"209","Heading revised","50512",58,"1993"
"210","Heading revised","50512",58,"1993"
"211","Authority citation revised","47209",58,"1993"
"211","Heading revised","50512",58,"1993"
"211.2","(t) revised","6358",58,"1993"
"211.8","Added","47209",58,"1993"
"211.2","Redesignated from 211.21; (b)(3) through (8) revised; (b)(9) and (c) added","6358",58,"1993"
"211.21","Redesignated as 211.20; new 211.21 redesignated from 211.22 and revised","6358",58,"1993"
