"Part","Change","Page","FedReg_Number","Year"
"201.51","Revised","176, 34065",57,"1992"
"201.52","Revised","176, 34065",57,"1992"
"202","Supplement I amended","12203",57,"1992"
"202","Appendix A amended","20399",57,"1992"
"203.3","(a) and (c)(1) revised; eff. 1-1-93","56965",57,"1992"
"203","Appendix A amended","20400",57,"1992"
"203","Amended; eff. 1-1-93","56965, 56967",57,"1992"
"204","Authority citation revised","56443",57,"1992"
"204.2","(a)(1)(iii), (b)(1)(ii), (e)(6) and (i)(1)(iii)(B) revised; (b)(3)(iii) amended; (b)(3)(iv) removed; (b)(3)(v) redesignated as (b)(3)(iv); (u) added","38427",57,"1992"
"204.2","(a)(1)(vii)(C) amended","40598",57,"1992"
"204.3","(c)(3) and (h) revised","38417",57,"1992"
"204.3","(a) introductory text amended; (g) revised","38427",57,"1992"
"204.9","(a)(1) revised","8060",57,"1992"
"204.9","(a) revised","56443",57,"1992"
"204.129","Removed","40598",57,"1992"
"204.133","Added","38427",57,"1992"
"204.134","Added","38428",57,"1992"
"204.135","Added","38429",57,"1992"
"204.136","Added","38429",57,"1992"
"205","Appendix B added","20400",57,"1992"
"206","Added","60106",57,"1992"
"207","OTC margin stock list","2997, 15220, 33101, 48939",57,"1992"
"208","Authority citation revised","43890, 44885, 60719, 62179, 62899",57,"1992"
"208","Temporary exceptions","54173",57,"1992"
"208.1—208.19","Designated as subpart A; undesignated center heading removed","44885",57,"1992"
"208.18","Regulation at 55 FR 27771 compliance date revised","6",57,"1992"
"208.30—208.35 (Subpart B)","Added","44885",57,"1992"
"208.51—208.52 (Subpart C)","Added; eff. 3-19-93","62899",57,"1992"
"208.110","Removed","21593",57,"1992"
"208.116—208.128","Designated as subpart E; undesignated center heading removed","44888",57,"1992"
"208","Appendix A amended","2012, 60719, 62182",57,"1992"
"208","Appendix A amended; interim","43890, 62179",57,"1992"
"208","Appendix C added; eff. 3-19-93","62900",57,"1992"
"210.2","(d) revised; (g) concluding text amended; (n) and (o) added; eff. 10-14-93","46955",57,"1992"
"210.9","Heading and (a) revised; eff. 10-14-93","46955",57,"1992"
"210.28","(b)(5) added; eff. 10-14-93","46956",57,"1992"
"211.2","(t) revised; interim","12997",57,"1992"
"211.21","(b)(1) and (2) amended; (b)(3) through (b)(8) added; interim","12997",57,"1992"
"211.22","Redesignated as 211.23; new 211.22 added; interim","12998",57,"1992"
"211.23","Redesignated as 211.24; new 211.23 redesignated from 211.22; (a) removed; (b) through (e) redesignated as (a) through (d); interim","12998",57,"1992"
"211.24","Redesignated from 211.23; (a) removed; (b) through (i) redesignated as (a) through (h); interim","12998",57,"1992"
"211.25","Added; interim","12999",57,"1992"
"211.26","Added; interim","13000",57,"1992"
"211.27","Added; interim","13001",57,"1992"
"211.28","Added; interim","13001",57,"1992"
"211.29","Added; interim","13001",57,"1992"
"211.3","Heading added; interim","13001",57,"1992"
"213","Appendix D amended","20400",57,"1992"
"215","Authority citation revised","21205, 22423, 60979",57,"1992"
"215.1","(a) revised","21205",57,"1992"
"215.2","(e) through (l) redesignated as (g) through (n); new (e) and (f) added; (a), (c), (d), new (h), (i), (l) and (m) revised","21205",57,"1992"
"215.3","(a)(4), (8), (b)(2) and (5) revised","21206",57,"1992"
"215.4","(c) footnote 3 removed; (d) footnote 4 redesignated as footnote 3","21205",57,"1992"
"215.4","(a)(1), (b)(1) and (c) revised; (b)(2), (3) and (d) redesignated as (b)(3), (4) and (e); new (b)(2) and new (d) added","21206",57,"1992"
"215.5","(a) footnote 5 redesignated as footnote 4","21205",57,"1992"
"215.5","(a) footnote 4 and (d) revised","21206",57,"1992"
"215.1","Regulations at 57 FR 21205 and 21206 republished","22424, 22425",57,"1992"
"215.6","Redesignated as 215.7; new 215.6 added","21207",57,"1992"
"215.6","Regulation at 57 FR 21207 republished","22426",57,"1992"
"215.7","Redesignated as 215.8; new 215.7 redesignated from 215.6","21207",57,"1992"
"215.7","Regulation at 57 FR 21207 republished","22426",57,"1992"
"215.8","Footnote 6 redesignated as footnote 5","21205",57,"1992"
"215.8","Redesignated as 215.9; new 215.8 redesignated from 215.7","21207",57,"1992"
"215.8","Regulations at 57 FR 21205 and 21207 republished","22424, 22426",57,"1992"
"215.9","Footnote 7 redesignated as footnote 6","21205",57,"1992"
"215.9","Redesignated as 215.10; new 215.9 redesignated from 215.8","21207",57,"1992"
"215.9","Regulations at 57 FR 21205 and 21207 republished","22424, 22426",57,"1992"
"215.1","(a) footnote 8 and (b) footnote 9 redesignated as (a) footnote 7 and (b) footnote 8","21205",57,"1992"
"215.1","Redesignated as 215.11; new 215.10 redesignated from 215.9","21207",57,"1992"
"215.1","Regulations at 57 FR 21205 and 21207 republished","22424, 22426",57,"1992"
"215.11","Redesignated as 215.13 and revised; new 215.11 redesignated from 215.10","21207",57,"1992"
"215.11","Regulation at 57 FR 21207 republished","22426",57,"1992"
"215.12","Added","21207",57,"1992"
"215.12","Regulation at 57 FR 21207 republished","22426",57,"1992"
"215.13","Redesignated from 215.11 and revised","21207",57,"1992"
"215.13","Regulation at 57 FR 21207 republished","22426",57,"1992"
"217","Heading and authority citation revised","43336",57,"1992"
"217.1","(a) and (b) revised; eff. 3-21-93","43336",57,"1992"
"217.4","Removed; eff. 3-21-93","43336",57,"1992"
"217.6","Removed; eff. 3-21-93","43336",57,"1992"
"217.101","Redesignated from 217.302; eff. 3-21-93","43336",57,"1992"
"217.201","Removed; eff. 3-21-93","43336",57,"1992"
"217.301","Removed; eff. 3-21-93","43336",57,"1992"
"217.302","Redesignated as 217.101; eff. 3-21-93","43336",57,"1992"
"217.601","Removed; eff. 3-21-93","43336",57,"1992"
"217.602","Removed; eff. 3-21-93","43336",57,"1992"
"217.603","Removed; eff. 3-21-93","43336",57,"1992"
"220","OTC margin stock list","2997, 15220, 33101, 48939",57,"1992"
"221","OTC margin stock list","2997, 15220, 33101, 48939",57,"1992"
"224","OTC margin stock list","2997, 15220, 33101, 48939",57,"1992"
"225","Authority citation revised","21207, 22426, 43890, 60720, 62180",57,"1992"
"225","Temporary exceptions","54173",57,"1992"
"225.2","(g) through (o) redesignated as (h) through (p); new (g) added","41387",57,"1992"
"225.4","(f) added","21207",57,"1992"
"225","Regulation at 57 FR 21207 republished","22426",57,"1992"
"225.11","(f) added; interim","13001",57,"1992"
"225.12","(f) added; interim","13001",57,"1992"
"225.12","(d) introductory text, (1) and (2) redesignated as (d)(1) introductory text, (i) and (ii); (d)(2) added","28778",57,"1992"
"225.13","(a) introductory text and (b)(2) revised; (b)(4) and (5) added; interim","13003",57,"1992"
"225.14","(b)(3) added","41642",57,"1992"
"225.23","(f)(2) introductory text republished; (f)(2)(i) revised","28779",57,"1992"
"225.25","Footnotes 7 through 14 redesignated as footnotes 8 through 15; (b)(5) introductory text, (i), (ii), (iii), (iv) introductory text, (A) through (D), (v) and (vi) redesignated as (b)(5)(i) introductory text, (A), (B), (C), (D) introductory text, (1) through (4), (E) and (F); new (b)(5) heading and (ii) added; (b)(5)(i) introductory text, (D) introductory text, (3) and (F) revised","20961",57,"1992"
"225","Footnotes 3 through 15 redesignated as footnotes 4 through 16; (b)(4)(iv) amended; (b)(4)(v) and (15) revised; (b)(4)(vi) added","41387",57,"1992"
"225.61—225.67 (Subpart G)","Regulation at 55 FR 27771 compliance date revised","6",57,"1992"
"225.125","(h) revised","30391",57,"1992"
"225.132","(c)(2) amended","28779",57,"1992"
"225.144","Removed","9973",57,"1992"
"225","Appendix A amended","2012, 43890, 60720, 62180, 62182",57,"1992"
"225","Appendix D amended","2013",57,"1992"
"226","Temporary exceptions","53545",57,"1992"
"226.5b","(f)(2)(ii) and (iii) revised; (f)(2)(iv) added","34681",57,"1992"
"226","Supplement I corrected","81, 749",57,"1992"
"226","Appendix I amended","20400",57,"1992"
"227.11","(c)(1), (2) and (3) revised; (d) added","20401",57,"1992"
"229","Authority citation revised","36598, 36600",57,"1992"
"229.1","(a) revised","36598",57,"1992"
"229.1","(b)(3) revised; eff. 1-3-94","46972",57,"1992"
"229.2","(mm) redesignated as (pp); new (mm), (nn) and (oo) added; eff. 1-3-94","46972",57,"1992"
"229.3","(a)(1) revised; (a) concluding text added","36600",57,"1992"
"229.12","(a) revised; (f) amended; (f)(1)(ii) and (2) removed","36601",57,"1992"
"229.13","(g)(1)(ii) through (v) removed; (g)(2) heading, (i), (ii) and (3) redesignated as (g)(1)(ii) heading, (A), (B) and (4); (b), (c) introductory text, (d) introductory text, (e)(1), (f) introductory text, new (g)(1)(ii)(A), (B), (h)(1), (3) and (4) amended; (g)(1) introductory text, (i) and (h)(2) revised; new (g)(2) and (3) added","3279",57,"1992"
"229.13","(b), (c) introductory text, (d) introductory text, (e)(1), (f) introductory text, (h)(1), (2) and (4) amended; (g)(2)(ii) and (3)(iii) revised","36598",57,"1992"
"229.30","(c) introductory text revised; eff. 1-3-94","46972",57,"1992"
"229.34","(c) and (d) redesignated as (d) and (e); heading, new (d) and (e) revised; new (c) added; eff. 1-3-94","46972",57,"1992"
"229.36","(f) added; eff. 1-3-94","46972",57,"1992"
"229.39","(d) redesignated as (e); new (d) added; eff. 1-3-94","46973",57,"1992"
"229","Appendixes C and E amended; interim","3280",57,"1992"
"229","Appendix E amended","36598, 36601",57,"1992"
"229","Appendix E amended; eff. 1-3-94","46973, 46975",57,"1992"
"229","Appendix E corrected; eff. 1-3-94","52719",57,"1992"
"230","Added","43376",57,"1992"
"230.6","(a)(3) corrected","46480",57,"1992"
"230","Appendixes A and B corrected","46480",57,"1992"
"250","Authority citation revised","41644",57,"1992"
"250.166","Added","40598",57,"1992"
"250.241","Added","41644",57,"1992"
"262.3","(b)(1) concluding text redesignated in part as (b)(1)(i) concluding text and (b)(1)(ii); (b)(1) introductory text and (i) through (vi) redesignated as (b)(1)(i) introductory text and (A) through (F); new (b)(1)(i) concluding text, (ii) and (2) amended","41642",57,"1992"
"262.25","(a)(1) amended","41642",57,"1992"
"263","Authority citation revised","13001",57,"1992"
"263","Authority citation revised","44888",57,"1992"
"263.50","(b)(7) and (8) amended; (b)(9) and (10) added; interim","13001",57,"1992"
"263.50","(b)(9) and (10) amended; (b)(11) through (14) added","44888",57,"1992"
