"Part.Number","Change","Page","FedReg_Number","Year"
"201.1","Revised","17231",33,1968
"201.101","Revoked","17231",33,1968
"201.102","Revoked","17231",33,1968
"201.103","Revoked","17231",33,1968
"201.104","Added","11949",30,1965
"201.104","Revised","4701",37,1972
"201.105","Added","1001",31,1966
"201.105","Revoked","17231",33,1968
"201.106","Added","4390",31,1966
"201.106","Revoked","17231",33,1968
"201.107","Added","5443",31,1966
"201.108","(b)(15) added","6417",34,1969
"201.108","(b)(18), (19), and (20) added","24105",37,1972
"201.108","(d) revised","1113",34,1969
"201.108","Added","17231",33,1968
"201.108","Introductory text of (b) revised; (b)(16) and (17) added","8441",36,1971
"201.109","Added","527",35,1970
"201.2","(a) revised","6417",34,1969
"201.2","(a) revised; (b) revoked","17231",33,1968
"201.2","(c) revised","18450",35,1970
"201.3","(a)(1), (b), (d), and (e) amended; (i)(2) and designation of (i)(1) deleted","6116",35,1970
"201.4","(a) revised","18450",35,1970
"201.51","Redesignated from 224.2.","19901",36,1971
"201.51","Revised","22742",36,1971
"201.51","Revised","11",37,1972
"201.52","Redesignated from 224.3","19901",36,1971
"201.52","Revised","22742",36,1971
"201.52","Revised","11",37,1972
"201.53","Redesignated from 224.4","19901",36,1971
"201.53","Revised","22742",36,1971
"201.53","Revised","11",37,1972
"204","Amended","15794",31,1966
"204.1","(b) and (f) revised","13409",34,1969
"204.1","(d) and (e) revised","15793",31,1966
"204.1","(f) amended","13524",34,1969
"204.1","(f) and (g) revised","12430",34,1969
"204.1","(f) revised","528",35,1970
"204.1","(f) through (i) redesignated as (g) through (j), respectively; new (f) added","9103",31,1966
"204.1","(i) amended","16310",31,1966
"204.106","Revised","12302",33,1968
"204.108","Added","398",29,1964
"204.109","Added","2447",29,1964
"204.11","Added","13604, 14436",29,1964
"204.11","Revoked","854",32,1967
"204.111","Added","8060",31,1966
"204.112","Added","2768",35,1970
"204.113","Added","3801",35,1970
"204.114","Added, incorrectly designated as 204.113","5081",35,1970
"204.115","Added","13512",35,1970
"204.116","Added","18957",35,1970
"204.2","(a)(2) and (3) eff. date postponed","19802",37,1972
