"Part.Number","Change","Page","FedReg_Number","Year"
"217.7","(b)(1) introductory text revised","26425",43,1978
"217.7","(b)(4) (d), (e), and (f) interpretation","24516",43,1978
"217.4","(d)(3) amended","58365",43,1978
"208.8","(e)(3) and Appendix A revised","20784",43,1978
"226.2","(d), (jj), and (kk) amended; (h) revised; (mm) through (ss) added","45538",41,1976
"217.4","(f) revised","61248",42,1977
"201","Heading revised","9076",38,1973
"201","Redesignated as 201.2 and revised","9076",38,1973
"201","Revised","54010",45,1980
"201.1","Revised","9076",38,1973
"201.1","Revised","19220",45,1980
"201.108","(d) amended","53709",43,1978
"201.11","Added","21434",43,1978
"201.2"," (e) revised","35128",39,1974
"201.2","(d) revised","36808",41,1976
"201.2","Redesignated as 201.3 and revised","9077",38,1973
"201.3"," (b) revised","39031",39,1974
"201.3","Redesignated as 201.4 and revised","9077",38,1973
"201.4","Redesignated as 201.5","9077",38,1973
"201.5","Redesignated from 201.4 and revised","9077",38,1973
"201.51"," Revised","16873, 44422",39,1974
"201.51"," Revised"," 4904,  6769,  12988,  23842",40,1975
"201.51","Amended","50782, 55237, 60190",46,1981
"201.51","Corrected","14369",38,1973
"201.51","Effective date corrected","55237",46,1981
"201.51","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,1973
"201.51","Revised","4540, 52979",41,1976
"201.51","Revised","47185, 57302",42,1977
"201.51","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53707",43,1978
"201.51","Revised","45116, 57385, 51191, 60717",44,1979
"201.51","Revised","12774, 40108, 41629, 52144, 67055, 78624, 82624",45,1980
"201.51","Revised","27090, 56409, 61249",46,1981
"201.51","Revised","35465, 36609, 37076, 39130, 47534, 54424, 57483",47,1982
"201.51","Revised","15543, 47825",49,1984
"201.51","Revised","444, 23395",50,1985
"201.52"," (b) revised"," 27476,30807",40,1975
"201.52"," Revised","16873, 38087, 44422",39,1974
"201.52"," Revised"," 4904,  6769,  12988,  23842",40,1975
"201.52","(a) and (b) revised","57302",42,1977
"201.52","(b) revised","48120",46,1981
"201.52","Corrected","14369",38,1973
"201.52","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,1973
"201.52","Revised","4540, 52979",41,1976
"201.52","Revised","47185",42,1977
"201.52","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53708",43,1978
"201.52","Revised","45116, 57385, 51191, 60717",44,1979
"201.52","Revised","12774, 40108, 41629, 52144, 67055, 78624, 82624",45,1980
"201.52","Revised","27090, 58409, 61249",46,1981
"201.52","Revised","35465, 36609, 37076, 39130, 47534, 54424, 57483",47,1982
"201.52","Revised","15543, 47825",49,1984
"201.52","Revised","444, 23395",50,1985
"201.53"," Revised","16873, 38087, 44422",39,1974
"201.53"," Revised"," 4904",40,1975
"201.53","Corrected","14369",38,1973
"201.53","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,1973
"201.53","Revised","4540, 52980",41,1976
"201.53","Revised","47186, 57302",42,1977
"201.53","Revised","4002, 21658, 31883, 38572, 45821, 50868, 53708",43,1978
"201.53","Revised","45116, 51191, 57385, 60717",44,1979
"201.53","Revised","12775, 40108, 41630, 52144, 67056, 78624, 82624",45,1980
"201.53","Revised","27090",46,1981
"201.6","Revised","9077",38,1973
"201.7","Added","9077",38,1973
"202"," Removed","11873",39,1974
"202","Added","49306",40,1975
"202","Appendix A amended","8707",50,1985
"202","Appendix B added","5679",42,1977
"202","Interpretations","49087, 51389, 55174",41,1976
