Part,Change,Page
```
202,Appendix C amended,50486
202,Appendix A amended,53539
202,Supplement I amended,9416
203,Revised; eff. 1-1-90,51362
204.9,(a)(1) revised,51012
205.13,(a)(1) amended,53539
205,Supplement II amended,9416
207,OTC margin stock list,4254, 16357, 31647, 43952
208.10,(a)(3) amended; (a)(4) revised; (b)(2) and (3) amended,7183
208.13,Revised,4198
208.17,Added,6117
208.123,Removed,7181
208.124,Added,7181
208,(b), (c)(8)(ii) and (d) footnote 1 corrected,10482
208,Appendix A added,4198
208,Appendix A corrected,12531
213,Appendix D amended,53539
220,OTC margin stock list,4254, 16357, 31647, 43952
221,OTC margin stock list,4254, 16357, 31647, 43952
224,OTC margin stock list,4254, 16357, 31647, 43952
225.2,(l) through (n) redesignated as (m) through (o); new (l) added,37302
225.25,(b)(9) added,37301
225.126,(h) removed,37302
225,Appendix A redesignated as Appendix B and amended; new Appendix A added,4209
225,Corrected,12531
225,Appendix B redesignated as Appendix C,4209
226,Authority citation revised,13864
226,Determination,50342
226.1,(a) amended,13865
226.1,(b) and (d)(2) revised; (c)(3) added,24686
226.2,(a)(15) and (a)(17)(iv) revised,13865
226.5,(a)(1), (2), and footnote 7 republished; footnotes 8 and 9 revised; (a)(3) and (b)(3) added,13865
226.5,Footnote 8 revised; (a)(4) and (b)(4) added,24686
226.5a,Added,13865
226.5a,(a)(3) revised,24686
226.5a,(a)(3), (d)(2), (g)(2)(i), and (ii) corrected,32954
226.5b,Added,24686
226.6,(e) added,24686
```
