Part,Change,Page
201.51,"Revised","444, 23395"
201.52,"Revised","444, 23395"
202,"Redesignated as Part 202a and effective date note added; new Part 202 added",48026
202.1,"(b)(1) amended",8707
202,"Appendix A amended",8707
202a,"Redesignated from Part 202 and effective date note added; eff. 12-16-85 (Part 202a to be removed eff. 10-1-86)",48026
204.4,"(f) amended",51509
204.9,"(a) revised",50285
204.124,"Added",13011
205.13,"(a)(1) amended",8708
205,"Appendix B amended",8708
,"Supplement II amended",13181
207,"OTC margin stock list","4495, 18231, 30931, 45399"
207.2,"(i) revised",10934
,"discussion of comments",24613
207.5,"Heading revised; (c) added",26355
208,"Authority citation revised",16066
208.13,"Added",16066
208.123,"Added",13011
210.12,"Undesignated paragraph following (b)(2) designated as (d); (c) added",5740
,"(c)(10) added (temporary)",41336
