"","Part","Change","Page","FedReg_Number","Year"
"1","201.51","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53707",43,"1978"
"2","201.52","Revised","4002, 21658, 31883, 38571, 45821, 50867, 53708",43,"1978"
"3","201.53","Revised","4002, 21658, 31883, 38572, 45821, 50868, 53708",43,"1978"
"4","201.108","(d) amended","53709",43,"1978"
"5","201.11","Added","21434",43,"1978"
"6","202","Staff interpretations","11967, 30531, 32742, 39341",43,"1978"
"7","202.1","(d) revised","18540",43,"1978"
"8","202.1","(d)(2)(i) correctly revised","19644, 21318",43,"1978"
"9","202.2","(c)(1)(i) and (2)(iii) revised; (c)(3) added","11969",43,"1978"
"10","204.1","(f)(1) revised","1616, 19644",43,"1978"
"11","204.5","(c) amended","38688",43,"1978"
"12","204.5","(a)(1)(ii) and (2)(ii) revised","52202",43,"1978"
"13","205","Removed","53709",43,"1978"
"14","206.4","(h)(1) revised; eff. 1-29-79","60550",43,"1978"
"15","206.5","(c) (3), (4), (f)(5), (k), (1)(1), (3)(iv), (4), and (7) revised; eff. 1-29-79","60550",43,"1978"
"16","206.6","(e)(3) and (l) revised eff. 1-29-79","60552",43,"1978"
"17","206.42","Amended; eff. 1-29-79","60554",43,"1978"
"18","206.43","Revised; eff. 1-29-79","60555",43,"1978"
"19","206.46","Amended; eff. 1-29-79","60557",43,"1978"
"20","206.47","Amended; eff. 1-29-79","60559",43,"1978"
"21","206.51","Amended; eff. 1-29-79","60559",43,"1978"
"22","206.54","Added; eff. 1-29-79","60559",43,"1978"
"23","207","OTC margin stock list","14304, 45822",43,"1978"
"24","207","OTC margin stock list corrected","46957",43,"1978"
"25","207.5","(d)(2) and (e)(2) revised","20966",43,"1978"
"26","207.110","Added","30038",43,"1978"
"27","208.8","(e)(2) and (5) removed; (e)(3) and (4) redesignated as (e)(2) and (3); new (e)(3) revised; Appendix A added","18162",43,"1978"
"28","(e)(3)","and Appendix A revised","20784",43,"1978"
"29","211.7","(c) amended","55239",43,"1978"
