"","Part","Change","Page","FedReg_Number","Year"
"1","265.1a","(a) introductory text and (a)(1) through (5) amended; (a)(6) through (11) added","31207",40,"1975"
"2","265.2","(a) redesignated as (a)(1); (a)(2) through (12) added","1506",40,"1975"
"3","265.2","(a)(13) added","25581",40,"1975"
"4","265.2","(d)(5) and (6), (f) introductory text, and (f)(33) added","31208",40,"1975"
"5","265.2","(h)(4), (5), and (6) added","32738",40,"1975"
"6","265.2","(b)(6) added","43717",40,"1975"
"7","265.2","(a)(14) added","46093",40,"1975"
"8","265.2","(c)(17) added","55635",40,"1975"
"9","270.4","(d) revised","10661",40,"1975"
"10","271.4","(c) revised; (d), (e), and (f) added","7897",40,"1975"
"11","271.5","(a) revised","13204",40,"1975"
"12","271.6","Amended","7898",40,"1975"
"13","272.3","(a) revised","7898",40,"1975"
"14","272.3","(d) and (e) revised","10661",40,"1975"
"15","201.51"," Revised"," 4904",40,"1975"
"16","201.51"," Revised"," 6769",40,"1975"
"17","201.51"," Revised"," 12988",40,"1975"
"18","201.51"," Revised"," 23842",40,"1975"
"19","201.52"," Revised"," 4904",40,"1975"
"20","201.52"," Revised"," 6769",40,"1975"
"21","201.52"," Revised"," 12988",40,"1975"
"22","201.52"," Revised"," 23842",40,"1975"
"23","201.52"," (b) revised"," 27476,30807",40,"1975"
"24","201.53"," Revised"," 4904",40,"1975"
"25","202","Added","49306",40,"1975"
"26","202.7","(a) effective date deferred, 1-31-76","60055",40,"1975"
"27","204.1","(e)(1) revised","46301",40,"1975"
"28","204.1","Corrected","48499",40,"1975"
"29","204.5","(a)(1)(iii) and (2)(iii) revised","3973",40,"1975"
"30","204.5","(c) revised","17136",40,"1975"
"31","204.5","(a)(1)(ii) and (2)(ii) revised","49310",40,"1975"
"32","204.5","(a)(1)(ii) and (2)(ii) revised","60055",40,"1975"
"33","206.1--206.71","Revised","50458",40,"1975"
"34","206.51","Form F-5 amended","52843",40,"1975"
"35","207.5","(f) revised"," 19636, 43482",40,"1975"
"36","207.5","Stock lists issued","44829",40,"1975"
"37","208.8","(e)(5) added","21931",40,"1975"
"38","208.8","(f) added","51179",40,"1975"
"39","211.111","Added","43199",40,"1975"
"40","213.3","(b)(6) and (7) revised; (b)(8) added","40507",40,"1975"
"41","213.7","Revised","17136",40,"1975"
"42","213.105","Added","18412",40,"1975"
"43","215.103","(a) revised; (c) amended","40507",40,"1975"
"44","217.1","(e)(3) revised","17832",40,"1975"
"45","217.1","(e)(1) revised","46301",40,"1975"
"46","217.3","(f) amended","24895",40,"1975"
"47","217.4","(d) suspended until 4-18-75","12251",40,"1975"
"48","217.4","(d) amended","24894, 57664",40,"1975"
"49","217.5","(c)(1) introductory text and (2) and (3) revised; (c)(1)(vii) added","32737",40,"1975"
"50","217.7","(b) footnote added; (d) amended","57664",40,"1975"
"51","217.152","Added","16831",40,"1975"
"52","220.7","(a) revised","53379",40,"1975"
"53","220.8","(g)(3) revised","19636",40,"1975"
"54","220.8","(g) revised","43482",40,"1975"
"55","220.8","(h) and (i) stock list issued","44829",40,"1975"
"56","221.4","(f) revised","19636, 43482",40,"1975"
"57","221.4","(d) and (e) stock list issued","44829",40,"1975"
"58","221.123","Correctly designated","59322",40,"1975"
"59","224","Stock list issued","44829",40,"1975"
"60","225.5","(c) added","55634",40,"1975"
"61","225.123","(g) revised","11710",40,"1975"
"62","225.123","(d) removal clarified","13304",40,"1975"
"63","225.123","(a) through (g) redesignated as (a), (b), (c), (d), and (e)","13477",40,"1975"
"64","225.129","Amended","36309",40,"1975"
"65","225.133","Added","43199",40,"1975"
"66","226.1","(b)(1) and (c) revised","30085",40,"1975"
"67","226.1","(a)(1) revised; (a)(2) amended","43201",40,"1975"
"68","226.2","Certain paragraphs redesignated (See conversion table)","43201",40,"1975"
"69","226.2","(mm) through (qq) added","50508",40,"1975"
"70","226.3","(e) added","30085",40,"1975"
"71","226.2","Footnotes 1 and 1a redesignated as 1a and 1b; new footnote 1 added to 226.2","43202",40,"1975"
"72","226.4","(i) added","43202",40,"1975"
"73","226.6","(b) revised; (k) added","43203",40,"1975"
