"","Part","Change","Page","FedReg_Number","Year"
"1","201.51","Revised","47185, 57302",42,"1977"
"2","201.52","Revised","47185",42,"1977"
"3","201.52","(a) and (b) revised","57302",42,"1977"
"4","201.53","Revised","47186, 57302",42,"1977"
"5","202","Revised","1243",42,"1977"
"6","202","Interpretations","15891, 21605, 40424, 62903",42,"1977"
"7","202.801","Added","40424",42,"1977"
"8","202.1101","Added","22861",42,"1977"
"9","202.1102","Added","22861",42,"1977"
"10","202.1103","Added","36801",42,"1977"
"11","202.1103","(a) and (d) corrected","39368",42,"1977"
"12","202","Appendix B added","5679",42,"1977"
"13","203.001","Added","19123",42,"1977"
"14","203.002","Added","19123",42,"1977"
"15","204.1","(f) interpretation","13296",42,"1977"
"16","204.5","(a)(1)(iii), (b) and (c) revised","9999",42,"1977"
"17","206.71","Revised","3172",42,"1977"
"18","207","OTC margin stock list... 968, Forms revised under Regulation G","41605, 29299",42,"1977"
"19","207","OTC margin stock list; corrected","46275",42,"1977"
"20","208.8","(e)(5) amended","20815",42,"1977"
"21","208.8","(j) added","45290",42,"1977"
"22","208.8","(g), (h) and (i) added","49443",42,"1977"
"23","208.8","(f)(4) added","65569",42,"1977"
"24","210","Heading revised","31764",42,"1977"
"25","210.1—210.16","(Subpart A) Heading added and nomenclature changes","31764",42,"1977"
"26","210.2","(a) revised","31764",42,"1977"
"27","210.65","(Subpart B) Added","31765",42,"1977"
"28","211.112","Added","752",42,"1977"
"29","212.3","(h) added","2951",42,"1977"
"30","213.7","(b) amended","58737",42,"1977"
"31","213.106","Added","752",42,"1977"
"32","217.1","(f) interpretation","13296",42,"1977"
"33","217.4","(d) revised","16615",42,"1977"
"34","217.4","(d) introductory text amended","57950",42,"1977"
"35","217.4","(d)(1) revised and footnote added","57951",42,"1977"
"36","12 CFR Part","(f) revised","61248",42,"1977"
"37","217.5","(b) amended","61248",42,"1977"
"38","217.7","(b)(1) revised; (e) added","20286",42,"1977"
"39","220","OTC margin stock list... 968","41605",42,"1977"
"40","220","OTC margin stock list corrected","46275",42,"1977"
"41","220.3","(d)(5) and (i) temporarily suspended in part; eff. 1-1-77","753",42,"1977"
"42","220.3","(ii)(4) revised","22862",42,"1977"
"43","221","OTC margin stock list... 968","41605",42,"1977"
"44","221","OTC margin stock list; corrected","46275",42,"1977"
"45","224","OTC margin stock list... 968","41605",42,"1977"
"46","224","OTC margin stock list; corrected","46275",42,"1977"
"47","225.5","(d) and (e) added","49444",42,"1977"
"48","225.5","(c)(4) added","65569",42,"1977"
"49","225.136","Added; eff. 12-22-76","1263",42,"1977"
"50","225.137","Added; correctly designated","1263, 2951",42,"1977"
"51","225.138","Added","10969",42,"1977"
"52","226","Staff interpretations","1264, 3827, 5690, 7948, 9384, 10680, 12851, 13103, 13296, 14859, 16130, 17865, 18056, 22360, 25489, 25491, 27570, 28520, 30148, 31430, 35147, 38174, 40424, 42845, 43057, 45895, 46916, 53947, 55880, 58163, 61248, 64106",42,"1977"
"53","226.1","(c) amended","3",42,"1977"
"54","226.1","(d)(1) and (3) amended","2950",42,"1977"
"55","226.2","(x) corrected","753",42,"1977"
"56","226.2","(tt), (uu), and (vv) added","38173",42,"1977"
"57","226.4","(i)(1) introductory text, (i) and (iii) and (2) amended; (i)(5) and footnote 5a added; (i)(4) revised","38173",42,"1977"
"58","226.5","(a)(3)(ii) amended","38173",42,"1977"
"59","226.6","(d) and (g) amended","3",42,"1977"
"60","226.6","(a) amended","20455",42,"1977"
"61","226.7","(k)(3)(ii) effective date postponed to 3-28-78","45897",42,"1977"
"62","226.8","(b)(8) added","20456",42,"1977"
"63","226.10","(h) amended","3",42,"1977"
"64","226.13","(l)(1)(i) amended","38173",42,"1977"
"65","226.15","(a) and (b)(5), (9), (11), and (15)(iii) amended","3",42,"1977"
"66","226.709","Added","42844",42,"1977"
"67","226.810","Removed","20456",42,"1977"
"68","226.821","Added","19125",42,"1977"
"69","226.1501","Added","10971",42,"1977"
"70","226.1502","Added","10974",42,"1977"
"71","226.1503","Added","10976",42,"1977"
"72","227.2","(a)(2)(i) amended","2950",42,"1977"
"73","261.3","(a) amended","56719",42,"1977"
"74","261.6","(a)(1) revised","9386",42,"1977"
"75","261.6","(a)(1) amended","10681",42,"1977"
"76","261b","Added","13297",42,"1977"
"77","262.3","(g)(4) amended","56719",42,"1977"
"78","264.735-8","(a) revised","27876",42,"1977"
"79","265.1a","(a) removed; (b) and (c) redesignated as (a) and (b)","25318",42,"1977"
"80","265.2","(c)(19) through (22) added; (h)(1) through (3) removed; (h)(4) and (6) revised; (h)(4) through (6) redesignated as (h)(1) through (3)","2950",42,"1977"
"81","265.2","(c)(23) and (f)(35) added","28522",42,"1977"
"82","265.2","(f) introductory text revised; (f)(33), (34), and (35), redesignated as (34), (35), and (36); new (f)(33) added","30601",42,"1977"
"83","265.2","(a)(8) revised","44980",42,"1977"
"84","265.2","(c)(24) added","45291",42,"1977"
"85","265.2","(a)(18) added","53950",42,"1977"
"86","265.2","(a)(16) and (f)(28) introductory text revised","55203",42,"1977"
"87","265.2","(c)(25) added","60559",42,"1977"
"88","265.3","Corrected","2501",42,"1977"
"89","268","Added","28522",42,"1977"
"90","271.6","(a) revised","13299",42,"1977"
"91","281.2","Added","13300",42,"1977"
