"","Part","Change","Page","FedReg_Number","Year"
"1","201.51","Revised","35465",47,"1982"
"2","201.51","Revised","36609",47,"1982"
"3","201.51","Revised","37076",47,"1982"
"4","201.51","Revised","39130",47,"1982"
"5","201.51","Revised","47534",47,"1982"
"6","201.51","Revised","54424",47,"1982"
"7","201.51","Revised","57483",47,"1982"
"8","201.52","Revised","35465",47,"1982"
"9","201.52","Revised","36609",47,"1982"
"10","201.52","Revised","37076",47,"1982"
"11","201.52","Revised","39130",47,"1982"
"12","201.52","Revised","47534",47,"1982"
"13","201.52","Revised","54424",47,"1982"
"14","201.52","Revised","57483",47,"1982"
"15","202.601","Added eff. 4-1-83","46076",47,"1982"
"16","202.901","Added eff. 4-1-83","46076",47,"1982"
"17","203","Appendix C added","751",47,"1982"
"18","203","Exemptions","49954",47,"1982"
"19","203","Exemptions","49956",47,"1982"
"20","204.2","(b)(2), (c)(1)(i)(E) and (ii) revised; (c)(1)(iii) added","38105",47,"1982"
"21","204.2","(h) footnote 1 amended; eff. 2-2-84","44707",47,"1982"
"22","204.2","(e)(4) through (6) revised; (e)(7) added","44993",47,"1982"
"23","204.2","(e)(7) revised","52693",47,"1982"
"24","204.2","(b)(2), (d), and (e) revised","55208",47,"1982"
"25","204.2","(e)(1)(viii) confirmed","58212",47,"1982"
"26","204.3","(d)(3) amended","14482",47,"1982"
"27","204.3","(c), (d)(1), (2), and (4), and (h) revised; eff. 2-2-84","44707",47,"1982"
"28","204.3","(a)(3) added","55206",47,"1982"
"29","204.3","Technical correction","57904",47,"1982"
"30","204.4","(e) revised","14482",47,"1982"
"31","204.4","(a) table revised; eff. 2-2-84","44708",47,"1982"
"32","204.4","(b) introductory text and (c) revised","49827",47,"1982"
"33","204.4","(b)(2)(ii) revised","55207",47,"1982"
"34","204.7","(a)(1) amended; eff. 2-2-84","44708",47,"1982"
"35","204.9","(a) revised","18848",47,"1982"
"36","204.9","(a)(1) introductory text and (2) revised","55206",47,"1982"
"37","204.9","(a)(1) revised","55210",47,"1982"
"38","204.9","Technical correction","57909",47,"1982"
"39","204.123","Added","8987",47,"1982"
"40","205.3","(g) added","44713",47,"1982"
"41","205.9","(a)(3), (c) and (d) amended; (h) and (i) added","44713",47,"1982"
"42","205.11","(c)(4) added","44713",47,"1982"
"43","206.44","Form F-4 corrected","4231",47,"1982"
"44","207","OTC margin stock list","8988, 30719, 44241",47,"1982"
"45","207","OTC margin stock list; correction","46839",47,"1982"
"46","207.1","(h) and (i) revised","2982",47,"1982"
"47","207.2","(i) revised","2982",47,"1982"
"48","207.5","(c) and (f) amended","2983",47,"1982"
"49","207.5","(d)(1), (4), (7), (8), and (9), and (e)(1), (4), (5), (6), and (7) revised","21758",47,"1982"
"50","208.8","(f)(2) revised","14684",47,"1982"
"51","208.8","(d) footnote 6a revised","18122",47,"1982"
"52","208.9","(d) revised","19321",47,"1982"
"53","211","Authority citation","11819",47,"1982"
"54","211.4","(e)(4)(xii) and (xiii) amended; (e)(4)(xiv) and (xv) added","11819",47,"1982"
"55","211.4","(c)(1) revised","51095",47,"1982"
"56","211.5","(c)(2) amended","51095",47,"1982"
"57","211.5","(c)(2) corrected","54057",47,"1982"
"58","211.23","(h)(3) removed; (a)(3) revised","51095",47,"1982"
"59","212","Authority citation","47371",47,"1982"
