"","Part","Change","Page","FedReg_Number","Year"
"1","201","Heading revised","9076",38,"1973"
"2","201","Redesignated as 201.2 and revised","9076",38,"1973"
"3","201.1","Revised","9076",38,"1973"
"4","201.2","Redesignated as 201.3 and revised","9077",38,"1973"
"5","201.3","Redesignated as 201.4 and revised","9077",38,"1973"
"6","201.4","Redesignated as 201.5","9077",38,"1973"
"7","201.5","Redesignated from 201.4 and revised","9077",38,"1973"
"8","201.6","Revised","9077",38,"1973"
"9","201.7","Added","9077",38,"1973"
"10","201.51","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,"1973"
"11","201.51","Corrected","14369",38,"1973"
"12","201.52","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,"1973"
"13","201.52","Corrected","14369",38,"1973"
"14","201.53","Revised","2330, 6988, 12733, 14092, 16214, 19016, 23772",38,"1973"
"15","201.53","Corrected","14369",38,"1973"
"16","204.1","Introductory text of (f) revised; (f)(5) added; (g) amended","16651, 33456",38,"1973"
"17","204.5","(a)(1)(ii) and (2)(ii) and (c) revised","13727",38,"1973"
"18","204.5","(a)(1)(iii) and (2)(iii) revised","18869",38,"1973"
"19","204.5","(a)(1)(ii) and (2)(ii) revised","19908, 25985, 34457",38,"1973"
"20","204.117","Added","16651",38,"1973"
"21","207.4","(a)(2)(i) revised","26905",38,"1973"
"22","207.4","(g) added","34652",38,"1973"
"23","207.5","(a) revised","13548",38,"1973"
"24","211.108","Added","3585",38,"1973"
"25","211.108","(a) corrected","4571",38,"1973"
"26","211.109","Added","5837",38,"1973"
"27","211.11","Added","14913",38,"1973"
"28","213.7","Revised","13728",38,"1973"
"29","213.7","(b) amended","14913",38,"1973"
"30","213.104","Added","14913",38,"1973"
"31","216","Appendix A revised","27831",38,"1973"
"32","217.1","(e)(3) added","34457",38,"1973"
"33","217.4","(d) revised","18641",38,"1973"
"34","217.4","(d) amended","20066, 23513",38,"1973"
"35","217.4","(e) redesignated as (f); new (e) added","26109",38,"1973"
"36","217.5","(c)(1) amended; (c)(3) revised; (c)(4) added","34457",38,"1973"
"37","217.6","(e), (f), and (g) redesignated as (f), (g), and (h); new (e) added","26109",38,"1973"
"38","217.6","(i) added","34457",38,"1973"
"39","217.7","(a)(1) revised","13728",38,"1973"
"40","217.7","Revised","18641, 19908, 29461",38,"1973"
"41","217.7","(a) revised","20442",38,"1973"
"42","217.7","(c) revised","34457",38,"1973"
"43","217.102","Removed","23512",38,"1973"
"44","217.122-217.123","Removed","23512",38,"1973"
"45","217.137","(a) revised","16029",38,"1973"
"46","217.138","Added","35231",38,"1973"
"47","220.3","(b)(2) amended; (d)(5) revised","13548",38,"1973"
"48","220.4","(c)(8) revised","1501",38,"1973"
"49","220.6","(l) added","34988",38,"1973"
"50","220.8","(a)(1) and (f) revised","13549",38,"1973"
"51","220.126","Added","5237",38,"1973"
"52","220.127","Added","11066",38,"1973"
"53","220.128","Added","12098",38,"1973"
"54","220.129","Added","16652",38,"1973"
"55","221.3","(l) revised","13549",38,"1973"
"56","221.3","(w) corrected","18363",38,"1973"
"57","221.4","(a) revised","13549",38,"1973"
"58","221.122","Added","5237",38,"1973"
"59","225.4","(a)(11) added","32126",38,"1973"
"60","225.129","Added","32126",38,"1973"
"61","225.130","Added","35231",38,"1973"
"62","226.2","(u) revised","18457",38,"1973"
"63","226.6","(a) revised","18457",38,"1973"
"64","226.8","(b)(7) revised","19814",38,"1973"
"65","226.10","(c) and (d) revised","18457",38,"1973"
"66","226.101","Added","18458",38,"1973"
"67","226.506","Added","14743",38,"1973"
"68","226.818","Added","12202",38,"1973"
"69","226.819","Added","23513",38,"1973"
"70","250.163","Added","13728",38,"1973"
"71","250.221","Added","35231",38,"1973"
"72","262","Revised","6807",38,"1973"
"73","265.2","(f)(23) revised; (f)(26) added","2442",38,"1973"
"74","265.2","(f)(3) revised","6988",38,"1973"
"75","265.2","(f)(27) added","8592",38,"1973"
"76","265.2","(f)(22) and (f)(24) revised; (f)(28) added","10917",38,"1973"
"77","265.2","(f)(22)(v) removed; (f)(22)(vi) through (xiii) redesignated as (f)(22)(v) through (xii); (f)(24)(v) removed; (f)(24)(vi) through (xvii) redesignated as (f)(24)(v) through (xvi); footnotes 4 and 5 redesignated as 2 and 3","29073",38,"1973"
"78","266","Added","31672",38,"1973"
"79","270","Revised","2753",38,"1973"
"80","271","Amended","2754",38,"1973"
"81","271.1","Heading revised","2754",38,"1973"
"82","271.2","(a) amended","2754",38,"1973"
"83","271.3","(a) amended","2754",38,"1973"
"84","271.4","(b) and (c) amended","2754",38,"1973"
"85","271.5","(a) amended","2754",38,"1973"
"86","271.6","(f) amended","2754",38,"1973"
"87","271.7","(a) amended","2754",38,"1973"
"88","272","Revised","2754",38,"1973"
