"","Part","Change","Page","FedReg_Number","Year"
"1","201.2","(d) revised","36808",41,"1976"
"2","201.51","Revised","4540, 52979",41,"1976"
"3","201.52","Revised","4540, 52979",41,"1976"
"4","201.53","Revised","4540, 52980",41,"1976"
"5","202","Interpretations","49087, 51389, 55174",41,"1976"
"6","202.001","Added","13579",41,"1976"
"7","202.4","(d)(1) amended; (d)(3) added","20577",41,"1976"
"8","202.5","(d)(2) amended","20577",41,"1976"
"9","202.6","Amended","38759",41,"1976"
"10","202.9","(a) and (b) revised","20577",41,"1976"
"11","202.1","(c) revised; (f) added","20577",41,"1976"
"12","202.13","(b) revised; (c) redesignated as (d); new (c) added","28255",41,"1976"
"13","202.14","(b) and (d) revised","20577",41,"1976"
"14","203","Added","23936",41,"1976"
"15","204","Footnotes 5a, 6, 7, and 8 redesignated as 6, 10, 11, and 12","26199",41,"1976"
"16","204.1","(f) introductory text and (3) revised","26198",41,"1976"
"17","204.5","(a)(1)(iii) and (2)(iii) revised","56627",41,"1976"
"18","204.118","Added","26679",41,"1976"
"19","204.119","Added","26200",41,"1976"
"20","206.7","(c)(10)(vii) added","46428",41,"1976"
"21","206.44","Revised","46428",41,"1976"
"22","206.71","Amended","46429",41,"1976"
"23","207","OTC margin stock list","21608",41,"1976"
"24","207.1","(a) and (b) revised; footnote 4 removed; footnotes 5 and 6 redesignated as footnotes 4 and 5","30007",41,"1976"
"25","207.2","Footnotes 7 through 9 redesignated as footnotes 6 through 8","30007",41,"1976"
"26","207.3","(a) revised","30007",41,"1976"
"27","207.5","(d) and (e) revised","28257",41,"1976"
"28","208.8","(e)(5) amended 1269","10062",41,"1976"
"29","210","Interim policy","3074",41,"1976"
"30","211.52","Added","7496",41,"1976"
"31","213.7","(b) revised","7497",41,"1976"
"32","213.52","Added","7496",41,"1976"
"33","217","Footnotes 5a, 6, 6a, and 7 redesignated as 9, 10, 11, and 12","26199",41,"1976"
"34","217.1","(e)(3) revised","10062",41,"1976"
"35","217.1","(f)(3) revised","26199",41,"1976"
"36","217.4","(d) revised (CFR correction)","32578",41,"1976"
"37","217.4","(d) amended","50243",41,"1976"
"38","217.5","(c)(3) revised","10062",41,"1976"
"39","217.6","(i) revised","10062",41,"1976"
"40","217.7","Footnote 2 revised","50243",41,"1976"
"41","217.143","Added","26201",41,"1976"
"42","220","OTC margin stock list","21608",41,"1976"
"43","220.3","(d)(5) revised; (i) added","43895",41,"1976"
"44","220.4","(i) revised; (j)(6) added","43896",41,"1976"
"45","220.8","(h) and (i) revised","28257",41,"1976"
"46","220.8","(j) added","43896",41,"1976"
"47","220.13","Added","34938",41,"1976"
"48","221","OTC margin stock list","21608",41,"1976"
"49","221.3","(a) amended (Form U-1 revised)","23667",41,"1976"
"50","221.3","(a) effective date postponed","35477, 48335",41,"1976"
"51","221.3","(a) amended (Form U-1 amended)","52980",41,"1976"
"52","221.4","(d) and (e) revised","28258",41,"1976"
"53","224","OTC margin stock list","21608",41,"1976"
"54","225.4","Footnotes 4 to 12 redesignated as 5 to 13; (a)(6)(i)(c) footnote 4 added","45984",41,"1976"
"55","225.6","Added","15688",41,"1976"
"56","225.134","Added","9859",41,"1976"
"57","225.134","Correctly designated and corrected","12009",41,"1976"
"58","225.135","Added","22260",41,"1976"
"59","226","Interpretations","41908, 44855, 47409, 51389, 52980, 54477, 55857, 56828",41,"1976"
"60","226","Supplement V added","55329",41,"1976"
"61","226.1","(c) revised; (d) added","28256",41,"1976"
"62","226.1","(d) corrected","2980",41,"1976"
"63","226.1","(a)(1),(2), and (b)(1) amended; (c) revised","4553",41,"1976"
"64","226.2","(mm) through (qq) removed","5098",41,"1976"
"65","12","(d), (jj), and (kk) amended; (h) revised; (mm) through (ss) added","45538",41,"1976"
"66","226.3","(f) added","45538",41,"1976"
"67","226.6","(b)(3) added; (c) and (i) amended; (d), (e), (f) and (g) footnote revised","45538",41,"1976"
"68","226.7","(b)(1)(ii) transition date suspended in July-Aug. ’76","20395",41,"1976"
"69","226.7","(b)(1)(ii) amended; (k) added","36664",41,"1976"
"70","226.7","(b)(1)(iii) amended; (c)(1) revised","36665",41,"1976"
"71","226.8","(a) amended; (r) removed","5098",41,"1976"
"72","226.8","(c)(8)(i) revised; (d)(3) amended","28945",41,"1976"
"73","226.10","(a) introductory text and (a)(1) and (2) redesignated as (a)(1), (a)(1)(i), and (a)(1)(ii); (a)(2), (g), and (h) added; (b) revised","45539",41,"1976"
"74","226.12","(a) and (b) revised","45539",41,"1976"
"75","226.13","(i)(4) footnote added","36665",41,"1976"
"76","226.14","(e) corrected","5098",41,"1976"
"77","226.15","Added","45540",41,"1976"
"78","226.102","Removed","5098",41,"1976"
"79","226.606","Added","6061",41,"1976"
"80","226.708","Added","6061",41,"1976"
"81","226.820","Removed","28945",41,"1976"
"82","227","Added","44362",41,"1976"
"83","250","Interpretation","9859",41,"1976"
"84","225.134","Correctly designated as","12009",41,"1976"
"85","265.1","Amended","53775",41,"1976"
"86","265.1a","(c) added","14860",41,"1976"
