Part,Change,Page
205.13,"Added; eff. 5-10-80",59472
206.4,"(h)(3), (4), and (5) revised; (h)(6), (7), and (8) added",67981
206.5,"(l) revised; (k)(5) added",67964
206.41,"Form F-1 amended",67964
206.42,"Form F-2 amended",67965
206.43,"Form F-3 amended",67965
206.44,"Form F-4 amended",67965
206.47,"Form F-11 amended",67966
206.48,"Form F-11A amended",67967
206.51,"Form F-5 amended",67968
206.64,"Heading correctly added",5391
207,"OTC margin stock list","20066, 56922"
208.8,"(k) added",43258
208.8,"(k)(4) intro text, (4)(i), (4)(iii), (5)(iv), and (6)(i) revised",76482
211,"Removed",36012
211,"Added",36007
211.5,"(b)(3) revised",70708
211.6,"(b)(1)(ii) corrected",42152
211.7,"(e)(2) and (3) corrected",37603
212,"Revised",42156
213,"Removed",36012
215,"Revised",12964
215.1-215.11 (Subpart A),"Heading added",67978
215.1,"Revised",67978
215.2,"Heading and introductory text revised",67979
215.9,"Heading revised",67979
215.10,"Revised",67979
215.11,"Added",67979
215.20-215.23 (Subpart B),"Added",67979
217.1,"(f)(2) revised",46438
217.3,"(a) amended",46437
217.4,"(d) temporarily suspended in part","28302, 31007"
217.4,"(d) introductory text and (e) revised",32648
217.4,"(d) temporarily suspended in part",34098
217.4,"(d) revised",46435
217.4,"(d) temporarily suspended in part","46436, 47535, 55552, 61171"
217.6,"(j) added",10361
217.6,"(e) revised",32648
217.7,"(f) amended",16361
217.7,"(b) through (f) revised; (g) added",32648
217.7,"(b) revised",46437
217.7,"(b), (f), and (g) revised",75623
217.137,"(a) revised",60076
217.155,"Added",32353
