"","Part.Number","Change","Page","FedReg_Number","Year"
"1",204.2,"(b) revised","1796",29,"1964"
"2",204.108,"Added","398",29,"1964"
"3",204.109,"Added","2447",29,"1964"
"4",204.11,"Added","13604, 14436",29,"1964"
"5",207.3,"(a) and (b) revised","12360",29,"1964"
"6",208.108,"Added","398",29,"1964"
"7",208.109,"Added","6061",29,"1964"
"8",208.11,"Added","7816",29,"1964"
"9",208.111,"Added","7817",29,"1964"
"10",208.112,"Added","9787",29,"1964"
"11",208.113,"Added","11177",29,"1964"
"12",208.114,"Added","15019",29,"1964"
"13",208.115,"Added","15253",29,"1964"
"14",210.5,"(a) through (i) redesignated as (b) through (j), respectively; introductory text redesignated as (a); newly redesignated (a) and (b) revised","12360",29,"1964"
"15",210.101,"Added","2447",29,"1964"
"16",210.102,"Added","2447",29,"1964"
"17",211.101,"Added","14874",29,"1964"
"18",213.101,"Added","2448",29,"1964"
"19",215.103,"Added","2448",29,"1964"
"20",215.104,"Added","2448",29,"1964"
"21",215.105,"Added","2448",29,"1964"
"22",217.6,"Revised","15944",29,"1964"
"23",217.135,"Added","398",29,"1964"
"24",217.136,"Added","8003",29,"1964"
"25",217.137,"Added","11150",29,"1964"
"26",217.138,"Added","13604",29,"1964"
"27",217.139,"Added","16317",29,"1964"
"28",218.108,"Added","5315",29,"1964"
"29",218.109,"Added","16065",29,"1964"
"30",219.101,"Corrected","6535",29,"1964"
"31",219.103,"Added","5225",29,"1964"
"32",222.117,"Added","5161",29,"1964"
"33",222.118,"Added","12361",29,"1964"
"34",224.2,"Revised","16855",29,"1964"
"35",224.3,"Revised","16855",29,"1964"
"36",224.4,"Revised","16855",29,"1964"
