Part,Change,Page
```
210.13,Revised,22966
210.14,Revised,22967
211,Authority citation revised,55028
211.21,(e) revised,55028
211.29,Added,55028
215,Authority citation revised,8837
215.1—215.13 (Subpart A),Revised,8837
215.2,(c)(4) and (d) introductory text corrected,37930
215.3,(b)(2) corrected,37930
215.4,(e)(1) introductory text and Footnote 3 corrected,37930
215.5,(b) and (c)(4) corrected,37930
215.11,(b)(1) corrected,37930
215.21,(a) amended; Footnote 10 removed; Footnotes 11 and 12 redesignated as Footnotes 5 and 6,8842
215.22,(c)(1)(ii) amended,8842
220,OTC margin stock lists,4549, 23124, 37651, 54381
220,Authority citation revised,53567
220.1,(b)(1) amended; (b)(3) added,53567
220.2,(h) revised; (w) through (aa) redesignated as (x) through (bb); new (w) added,53567
220.4,(c)(3) revised; (d) amended,53568
220.8,(b)(4) amended; (b)(1)(i) introductory text, (ii), (3), (c)(2)(i) and (d) revised,53568
220.18,Redesignated as 220.19; new 220.18 added,53568
220.19,Redesignated from 220.18,53568
221,OTC margin stock lists,4549, 23124, 37651, 54381
224,OTC margin stock lists,4549, 23124, 37651, 54381
225,Statement and order,6531, 40202
225,Authority citation revised,22968, 29500, 62993, 63244, 65474
225.4,Temporary exceptions,62562
225.4,(b)(1) revised; (b)(6) added,22968
225.4,(d) removed; (e) through (g) redesignated as (d) through (f),39679
225.7,Added,39679
225.7,(b)(3) added; (c)(2) revised; eff. 1-23-95,65474
225.11,Introductory text revised; interim,54808
225.14,(i) revised; interim,54808
225.15,Added; interim,54808
225.23,Revised; interim,54808
```
