Part,Change,Page
204.2,b)(3)(ii)(A), (c)(1)(i) footnote 1, (d)(2), (e)(2), and (f)(2) revised; (e)(4) amended; (b)(3)(iv) removed; (b)(3)(v) and (vi) redesignated as (b)(3)(iv) and (v),15494
204.7,(a) revised,15495
204.8,(a)(2)(i)(B)(5) footnote 14 revised,15495
204.9,(a)(1 and (2) revised,60055
204.121—204.132,Undesignated center heading added,15495
204.125,Heading and introductory text revised; list amended,15495
207,OTC margin stock list,3773; 19548; 35807; 55442
207.1,(b) redesignated as (b)(1); (b)(2) added,46110
207.3,(l)(1)(i), (ii) and (3) revised,46111
207.13,Added,46228
208.125,Regulation at 55 FR 52987 effective date corrected,627
208.126,Regulation at 55 FR 52987 effective date corrected,627
208.127,Regulation at 55 FR 52987 effective date corrected,627
208.128,Added,63407
208,Appendix A amended,51156
211,Authority citation revised,19565
211.1—211.7 (Subpart A),Revised,19565
211,Regulation at 56 FR 19565 effective date corrected,23010
211.21,Revised,19574
211,Regulation at 56 FR 19574 effective date corrected,23010
211.22,(a)(2) and (5)revised,19574
211,Regulation at 56 FR 19574 effective date corrected,23010
211.23,(d),(e),(f)(4),(5), (g) and (h) revised; (i) added,19574
211,Regulation at 56 FR 19574 effective date corrected,23010
211.31—211.34 (Subpart C),Revised,19575
211,Regulation at 56 FR 19575 effective date corrected,23010
211.603,Added,63408
213,Authority citation revised,51322
213,Appendix D amended,51322
213,Authority citation corrected,65130
216,Revised,13071
220,OTC margin stock list,3773, 19548, 35805, 55442
220.14,Heading and (b) revised,46112
