Part,Change,Page
```
CFR Part,Change,Page
261.6,(c)(38) added; (f)(46)(iii) and (v) removed; (f)(46)(iv) and (vi) redesignated as (f)(46)(iii) and (iv); (f)(46)(ii) revised; (f)(53) added,19576
Regulation at 56 FR 19576, effective date corrected; (c)(38) corrected,23010
265.4,(a)(2) amended,67154
265.5,(c)(2) revised,67153
265.5,(d)(1) introductory text and (2) introductory text amended,67154
265.6,(a)(4), (c)(3), (5) and (d)(2) amended,67154
265.7, Heading, introductory text, (a)(2), (4), (c)(2), (4)(i), (d)(2), (3), (5), (7)(i), (e)(3) and (f)(2) amended; (c)(6) added; (e)(5), (6) and (f)(10) revised; revised,67153, 67154
265.9,(b) revised,67154
265.11,(a)(2), (3), (13), (15) introductory text, (c)(6), (9)(i) and (d)(2) introductory text amended; (f) revised,67154
268.101,(b) revised,32955
268.1001—268.1004 (Subpart J),Added,32955
268.1001,Revised,64190
268.1002,Revised,64191
271,Authority citation revised,23994
271.1,Revised,23994
271.2,(b) revised; (c) and (d) added,23994
271.4,(c) revised; (f) removed,23994
271.5,(b)(3) revised,23995
271.6,(b) and (d) revised; (e) and (f) amended; (g) and (h) added,23995
271.8,Added,23995
271,Appendix A added,23995
```
