Part,Change,Page
201.51,"Revised","37436"
201.52,"Revised","37436"
202,"Determination","35537"
202,"Supplement I and Appendix B amended","10733"
203,"Exemption terminated","10365"
204,"Authority citation revised","2215, 46451"
204.2—204.4,"Authority citations removed","2215"
204.2,"(a)(1)(v) and (vii)(C) amended","47694"
204.2,"(c)(1)(iv)(E), footnote 4 amended","47695"
204.9,"Authority citation removed","2215"
204.9,"(a)(1) and (2) revised","46451"
204.122,"(b) revised","47694"
204.123,"Amended","47695"
204.124,"(a) amended","47695"
204.125,"Redesignated from 217.126 and revised","47695"
204.126,"Redesignated from 217.137 and revised","47695"
