Part,Change,Page
204.127,"Redesignated from 217.138 and revised","47695"
204.128,"Redesignated from 217.146 and revised","47696"
204.129,"Redesignated from 217.153 and revised","47696"
204.130,"Redesignated from 217.157 and revised","47696"
204.131,"Redesignated from 217.159 and revised","47697"
205.14,"(a)(2) and (b) revised","30912"
205,"Supplement II amended","10734"
205,"Appendix A amended","30912"
206,"Removed","49375"
207,"OTC margin stock list","3218, 15941, 28538, 41963"
208,"Authority citation revised","2859, 42090, 49375"
208.14,"Added","2860"
208.15,"Added","42090"
,"Addition comment time extended","46984"
208.16,"Added","49376"
211,"Authority citation revised","30914"
211.5,"(f) added","30914"
217.101,"Removed","47698"
217.103,"Removed","47698"
217.105 - 217.112,"Removed","47698"
217.113,"Redesignated as 217.601","47698"
217.114 - 217.121,"Removed","47698"
217.124,"Removed","47698"
217.126,"Redesignated as 204.125 and revised","47695"
217.131 - 217.133,"Removed","47698"
217.134,"Redesignated as 217.301 and revised","47698"
217.135 - 217.136,"Removed","47698"
217.137,"Redesignated as 204.126 and revised","47695"
217.138,"Redesignated as 204.127 and revised","47695"
217.139 - 217.141,"Removed","47698"
217.144,"Removed","47698"
217.146,"Redesignated as 204.128 and revised","47696"
217.147,"Redesignated as 217.302 and revised","47698"
217.148,"Redesignated as 217.602","47698"
217.150,"Removed","47698"
217.151,"Redesignated as 217.603","47698"
217.152,"Removed","47698"
217.153,"Redesignated as 204.129 and revised","47696"
217.155 - 217.156,"Removed","47698"
217.157,"Redesignated as 204.130 and revised","47696"
